participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-23885	Go	n/a	0.553	1	n/a
sub-23885	Go	n/a	0.461	1	n/a
sub-23885	Go	n/a	0.326	1	n/a
sub-23885	Go	n/a	0.261	1	n/a
sub-23885	Stop	0.750	n/a	0	1
sub-23885	Go	n/a	0.307	1	n/a
sub-23885	Go	n/a	0.387	1	n/a
sub-23885	Go	n/a	0.343	1	n/a
sub-23885	Stop	0.700	n/a	0	0
sub-23885	Go	n/a	0.297	1	n/a
sub-23885	Stop	0.750	n/a	0	1
sub-23885	Go	n/a	0.438	1	n/a
sub-23885	Stop	0.700	n/a	0	0
sub-23885	Stop	0.750	n/a	0	0
sub-23885	Stop	0.800	n/a	0	1
sub-23885	Go	n/a	0.393	1	n/a
sub-23885	Go	n/a	0.583	1	n/a
sub-23885	Go	n/a	0.330	1	n/a
sub-23885	Stop	0.750	n/a	0	0
sub-23885	Go	n/a	0.332	1	n/a
sub-23885	Go	n/a	0.283	1	n/a
sub-23885	Go	n/a	0.435	1	n/a
sub-23885	Stop	0.800	n/a	0	0
sub-23885	Go	n/a	0.454	1	n/a
sub-23885	Go	n/a	0.358	1	n/a
sub-23885	Go	n/a	0.417	1	n/a
sub-23885	Stop	0.850	n/a	0	0
sub-23885	Go	n/a	0.353	1	n/a
sub-23885	Go	n/a	0.433	1	n/a
sub-23885	Stop	0.900	n/a	0	1
sub-23885	Go	n/a	0.306	0	n/a
sub-23885	Stop	0.850	n/a	0	1
sub-23885	Stop	0.800	n/a	0	1
sub-23885	Go	n/a	0.641	1	n/a
sub-23885	Go	n/a	0.258	1	n/a
sub-23885	Stop	0.750	n/a	0	0
sub-23885	Go	n/a	0.500	1	n/a
sub-23885	Stop	0.800	n/a	0	0
sub-23885	Go	n/a	0.386	1	n/a
sub-23885	Go	n/a	0.389	1	n/a
sub-23885	Go	n/a	0.565	1	n/a
sub-23885	Stop	0.850	n/a	0	1
sub-23885	Go	n/a	0.412	1	n/a
sub-23885	Go	n/a	0.423	1	n/a
sub-23885	Go	n/a	0.357	1	n/a
sub-23885	Go	n/a	0.332	1	n/a
sub-23885	Go	n/a	0.294	1	n/a
sub-23885	Stop	0.800	n/a	0	0
sub-23885	Go	n/a	0.391	1	n/a
sub-23885	Go	n/a	0.323	1	n/a
sub-23885	Go	n/a	0.358	1	n/a
sub-23885	Go	n/a	0.389	1	n/a
sub-23885	Go	n/a	0.338	1	n/a
sub-23885	Go	n/a	0.282	1	n/a
sub-23885	Stop	0.850	n/a	0	0
sub-23885	Go	n/a	0.331	1	n/a
sub-23885	Stop	0.900	n/a	0	0
sub-23885	Stop	0.950	n/a	0	1
sub-23885	Go	n/a	0.405	1	n/a
sub-23885	Go	n/a	0.386	1	n/a
sub-23885	Go	n/a	0.449	1	n/a
sub-23885	Go	n/a	0.341	1	n/a
sub-23885	Stop	0.900	n/a	0	1
sub-23885	Stop	0.850	n/a	0	1
sub-23885	Go	n/a	0.359	1	n/a
sub-23885	Go	n/a	0.348	1	n/a
sub-23885	Go	n/a	0.315	1	n/a
sub-23885	Go	n/a	0.318	1	n/a
sub-23885	Go	n/a	0.428	1	n/a
sub-23885	Go	n/a	0.323	1	n/a
sub-23885	Go	n/a	0.297	1	n/a
sub-23885	Go	n/a	0.419	1	n/a
sub-23885	Go	n/a	0.289	1	n/a
sub-23885	Go	n/a	0.337	1	n/a
sub-23885	Stop	0.800	n/a	0	0
sub-23885	Stop	0.850	n/a	0	0
sub-23885	Go	n/a	0.438	1	n/a
sub-23885	Go	n/a	0.344	1	n/a
sub-23885	Go	n/a	0.319	1	n/a
sub-23885	Go	n/a	0.281	1	n/a
sub-23885	Go	n/a	0.343	1	n/a
sub-23885	Go	n/a	0.414	1	n/a
sub-23885	Go	n/a	0.498	1	n/a
sub-23885	Go	n/a	0.392	1	n/a
sub-23885	Stop	0.900	n/a	0	1
sub-23885	Go	n/a	0.429	1	n/a
sub-23885	Go	n/a	0.441	1	n/a
sub-23885	Stop	0.850	n/a	0	1
sub-23885	Go	n/a	0.372	1	n/a
sub-23885	Go	n/a	0.341	1	n/a
sub-23885	Stop	0.800	n/a	0	0
sub-23885	Go	n/a	0.372	1	n/a
sub-23885	Go	n/a	0.396	1	n/a
sub-23885	Go	n/a	0.362	1	n/a
sub-23885	Go	n/a	0.302	1	n/a
sub-23885	Go	n/a	0.486	1	n/a
sub-23885	Go	n/a	0.346	1	n/a
sub-23885	Stop	0.850	n/a	0	0
sub-23885	Go	n/a	0.371	1	n/a
sub-23885	Go	n/a	0.346	1	n/a
sub-23885	Stop	0.900	n/a	0	0
sub-23885	Go	n/a	0.498	1	n/a
sub-23885	Go	n/a	0.338	1	n/a
sub-23885	Go	n/a	0.577	1	n/a
sub-23885	Stop	0.750	n/a	0	0
sub-23885	Stop	0.800	n/a	0	0
sub-23885	Go	n/a	0.428	1	n/a
sub-23885	Go	n/a	0.323	1	n/a
sub-23885	Go	n/a	0.373	1	n/a
sub-23885	Go	n/a	0.338	1	n/a
sub-23885	Go	n/a	0.295	1	n/a
sub-23885	Stop	0.850	n/a	0	0
sub-23885	Go	n/a	0.471	1	n/a
sub-23885	Go	n/a	0.304	1	n/a
sub-23885	Go	n/a	0.401	1	n/a
sub-23885	Go	n/a	0.431	1	n/a
sub-23885	Go	n/a	0.422	1	n/a
sub-23885	Go	n/a	0.562	1	n/a
sub-23885	Go	n/a	0.489	1	n/a
sub-23885	Stop	0.900	n/a	0	1
