participant_id	condition	accuracy	reaction_time
sub-24190	incongruent	1	0.723
sub-24190	incongruent	1	0.577
sub-24190	incongruent	1	0.525
sub-24190	incongruent	1	0.546
sub-24190	incongruent	1	0.531
sub-24190	congruent	1	0.380
sub-24190	congruent	1	0.403
sub-24190	congruent	1	0.461
sub-24190	congruent	1	0.415
sub-24190	congruent	1	0.425
sub-24190	congruent	1	0.368
sub-24190	congruent	1	0.374
sub-24190	incongruent	1	0.516
sub-24190	incongruent	0	0.369
sub-24190	incongruent	1	0.531
sub-24190	congruent	1	0.692
sub-24190	congruent	1	0.394
sub-24190	congruent	1	0.526
sub-24190	congruent	1	0.453
sub-24190	incongruent	1	0.606
sub-24190	incongruent	1	0.498
sub-24190	congruent	1	0.425
sub-24190	congruent	1	0.457
sub-24190	incongruent	1	0.526
sub-24190	congruent	1	0.425
sub-24190	incongruent	1	0.569
sub-24190	incongruent	1	0.560
sub-24190	incongruent	1	0.587
sub-24190	incongruent	1	0.537
sub-24190	congruent	1	0.383
sub-24190	congruent	1	0.438
sub-24190	incongruent	0	0.812
sub-24190	incongruent	1	1.114
sub-24190	congruent	1	0.400
sub-24190	incongruent	1	0.996
sub-24190	congruent	1	0.456
sub-24190	congruent	1	0.373
sub-24190	incongruent	0	0.642
sub-24190	incongruent	1	1.028
sub-24190	congruent	1	0.450
sub-24190	incongruent	0	0.408
sub-24190	congruent	1	0.578
sub-24190	congruent	1	0.459
sub-24190	congruent	1	0.378
sub-24190	incongruent	1	0.553
sub-24190	incongruent	1	0.563
sub-24190	incongruent	1	0.535
sub-24190	incongruent	1	0.586
sub-24190	incongruent	1	0.571
sub-24190	congruent	1	0.430
sub-24190	incongruent	0	0.552
sub-24190	congruent	1	0.544
sub-24190	congruent	1	0.413
sub-24190	incongruent	1	0.636
sub-24190	congruent	1	0.506
sub-24190	congruent	1	0.367
sub-24190	incongruent	1	0.539
sub-24190	incongruent	0	0.365
sub-24190	congruent	1	0.361
sub-24190	congruent	1	0.393
sub-24190	incongruent	1	0.685
sub-24190	incongruent	1	0.530
sub-24190	congruent	1	0.441
sub-24190	congruent	1	0.486
sub-24190	congruent	1	0.324
