participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-24397	Stop	0.750	0.000	0	1
sub-24397	Go	n/a	0.000	0	n/a
sub-24397	Go	n/a	0.422	1	n/a
sub-24397	Go	n/a	0.476	1	n/a
sub-24397	Go	n/a	0.478	1	n/a
sub-24397	Stop	0.700	0.000	0	0
sub-24397	Go	n/a	0.880	1	n/a
sub-24397	Go	n/a	0.578	1	n/a
sub-24397	Stop	0.750	0.000	0	1
sub-24397	Go	n/a	0.686	1	n/a
sub-24397	Stop	0.700	0.000	0	0
sub-24397	Go	n/a	0.000	0	n/a
sub-24397	Go	n/a	0.626	1	n/a
sub-24397	Stop	0.750	0.000	0	1
sub-24397	Stop	0.700	0.000	0	1
sub-24397	Go	n/a	0.962	1	n/a
sub-24397	Go	n/a	0.000	0	n/a
sub-24397	Go	n/a	0.495	1	n/a
sub-24397	Stop	0.750	0.000	0	0
sub-24397	Stop	0.800	0.000	0	1
sub-24397	Stop	0.750	0.000	0	1
sub-24397	Go	n/a	0.629	1	n/a
sub-24397	Go	n/a	0.398	1	n/a
sub-24397	Go	n/a	0.506	1	n/a
sub-24397	Stop	0.700	0.000	0	1
sub-24397	Go	n/a	0.986	1	n/a
sub-24397	Go	n/a	0.593	1	n/a
sub-24397	Go	n/a	0.904	1	n/a
sub-24397	Go	n/a	0.446	1	n/a
sub-24397	Go	n/a	0.546	1	n/a
sub-24397	Stop	0.650	0.000	0	1
sub-24397	Go	n/a	0.741	1	n/a
sub-24397	Stop	0.600	0.000	0	0
sub-24397	Stop	0.650	0.000	0	1
sub-24397	Go	n/a	0.385	1	n/a
sub-24397	Go	n/a	0.465	1	n/a
sub-24397	Go	n/a	0.581	1	n/a
sub-24397	Stop	0.600	0.000	0	0
sub-24397	Go	n/a	0.000	0	n/a
sub-24397	Stop	0.650	0.000	0	0
sub-24397	Go	n/a	0.646	1	n/a
sub-24397	Go	n/a	0.715	1	n/a
sub-24397	Go	n/a	0.526	1	n/a
sub-24397	Go	n/a	0.301	1	n/a
sub-24397	Go	n/a	0.453	1	n/a
sub-24397	Go	n/a	0.375	1	n/a
sub-24397	Go	n/a	0.536	1	n/a
sub-24397	Stop	0.700	0.000	0	1
sub-24397	Stop	0.650	0.000	0	0
sub-24397	Go	n/a	0.839	1	n/a
sub-24397	Go	n/a	0.452	1	n/a
sub-24397	Stop	0.700	0.262	1	0
sub-24397	Stop	0.750	0.000	0	1
sub-24397	Go	n/a	0.492	1	n/a
sub-24397	Go	n/a	0.865	0	n/a
sub-24397	Go	n/a	0.595	1	n/a
sub-24397	Go	n/a	0.490	1	n/a
sub-24397	Go	n/a	0.468	1	n/a
sub-24397	Stop	0.700	0.000	0	0
sub-24397	Go	n/a	0.544	1	n/a
sub-24397	Go	n/a	0.584	1	n/a
sub-24397	Go	n/a	0.825	1	n/a
sub-24397	Go	n/a	0.517	1	n/a
sub-24397	Go	n/a	0.710	1	n/a
sub-24397	Stop	0.750	0.000	0	1
sub-24397	Go	n/a	0.563	1	n/a
sub-24397	Go	n/a	0.496	1	n/a
sub-24397	Go	n/a	0.606	1	n/a
sub-24397	Go	n/a	0.558	1	n/a
sub-24397	Stop	0.700	0.000	0	1
sub-24397	Go	n/a	0.797	1	n/a
sub-24397	Go	n/a	0.441	0	n/a
sub-24397	Go	n/a	0.000	0	n/a
sub-24397	Go	n/a	0.458	1	n/a
sub-24397	Stop	0.650	0.000	0	0
sub-24397	Go	n/a	0.568	1	n/a
sub-24397	Stop	0.700	0.000	0	1
sub-24397	Go	n/a	0.571	1	n/a
sub-24397	Go	n/a	0.742	1	n/a
sub-24397	Go	n/a	0.717	1	n/a
sub-24397	Go	n/a	0.412	1	n/a
