onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.034	0.035	L	1693542	1693576	1033.0	565.4	675.2	299.0	8.51	457
0.035	0.034	R	1693543	1693576	1017.8	569.6	668.6	335.2	8.02	395
0.246	0.037	L	1693754	1693790	660.3	289.6	910.5	305.2	4.70	384
0.245	0.039	R	1693753	1693791	637.9	315.7	913.7	316.9	5.17	438
0.459	0.026	R	1693967	1693992	940.4	327.9	911.8	486.9	3.09	244
0.459	0.028	L	1693967	1693994	949.5	330.9	912.6	497.7	3.26	220
0.671	0.023	R	1694179	1694201	913.7	501.1	925.2	489.4	0.32	85
1.435	0.016	L	1694943	1694958	925.9	489.7	968.1	466.6	0.92	94
1.435	0.025	R	1694943	1694967	928.5	512.6	951.9	483.3	0.72	118
1.763	0.052	R	1695271	1695322	942.8	487.4	1540.8	428.2	11.19	373
1.764	0.052	L	1695272	1695323	964.3	493.2	1534.8	438.9	10.67	307
1.936	0.043	L	1695444	1695486	1524.2	435.7	955.1	466.5	10.64	524
1.937	0.042	R	1695445	1695486	1512.6	445.2	911.7	486.9	11.25	472
2.562	0.023	L	1696070	1696092	964.7	484.7	957.0	460.0	0.50	87
2.562	0.023	R	1696070	1696092	923.9	485.2	915.4	465.7	0.41	81
2.862	0.022	L	1696370	1696391	935.7	463.1	947.7	445.6	0.41	85
2.861	0.025	R	1696369	1696393	904.7	472.4	912.9	458.6	0.31	91
4.428	0.024	L	1697936	1697959	959.8	496.7	958.7	462.9	0.66	101
5.4	0.05	R	1698908	1698957	934.5	505.6	1735.0	465.9	14.86	475
5.4	0.06	L	1698908	1698967	963.1	499.2	1669.5	466.5	13.17	403
5.642	0.057	L	1699150	1699206	1704.8	454.3	1005.6	471.6	12.99	554
5.644	0.056	R	1699152	1699207	1703.0	483.4	984.1	488.1	13.35	475
5.909	0.024	R	1699417	1699440	944.2	496.8	930.6	496.9	0.26	92
6.53	0.018	L	1700038	1700055	951.0	474.3	1015.9	458.0	1.30	125
6.529	0.02	R	1700037	1700056	897.3	507.6	983.3	473.2	1.80	160
6.604	0.034	L	1700112	1700145	1009.2	471.7	649.2	470.0	6.97	408
6.606	0.035	R	1700114	1700148	961.5	479.7	583.9	488.6	7.31	381
8.214	0.021	L	1701722	1701742	930.7	505.4	1050.4	499.6	2.32	195
8.213	0.022	R	1701721	1701742	877.2	487.4	1011.3	462.8	2.65	226
8.641	0.021	L	1702149	1702169	1045.1	507.3	929.3	487.3	2.28	197
8.641	0.022	R	1702149	1702170	997.6	487.9	874.7	479.8	2.39	201
9.05	0.023	R	1702558	1702580	875.2	486.7	887.0	479.5	0.27	72
10.068	0.063	L	1703576	1703638	962.7	499.1	177.2	596.8	15.11	542
