onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
0.144	2.0	2972601	2974635	ShowFixation	ANTI	1	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
2.178	0.2	2974635	2974871	BlankScreen	ANTI	1	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
2.414	1.0	2974871	2975911	ELCue	ANTI	1	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
3.851	6.0	2976308	2982956	ShowFixation	ANTI	2	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
10.499	0.2	2982956	2983195	BlankScreen	ANTI	2	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
10.738	1.0	2983195	2984236	ELCue	ANTI	2	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
12.184	2.0	2984641	2987281	ShowFixation	VGS	3	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
14.824	0.2	2987281	2987516	BlankScreen	VGS	3	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
15.059	1.0	2987516	2988557	ELCue	VGS	3	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
16.505	6.0	2988962	2995602	ShowFixation	ANTI	4	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
23.145	0.2	2995602	2995841	BlankScreen	ANTI	4	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
23.384	1.0	2995841	2996882	ELCue	ANTI	4	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
24.825	2.0	2997282	2999927	ShowFixation	ANTI	5	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
27.47	0.2	2999927	3000162	BlankScreen	ANTI	5	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
27.705	1.0	3000162	3001203	ELCue	ANTI	5	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
29.145	6.0	3001602	3008248	ShowFixation	VGS	6	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
35.791	0.2	3008248	3008487	BlankScreen	VGS	6	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
36.03	1.0	3008487	3009528	ELCue	VGS	6	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
37.474	2.0	3009931	3012573	ShowFixation	VGS	7	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
40.116	0.2	3012573	3012808	BlankScreen	VGS	7	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
40.351	1.0	3012808	3013849	ELCue	VGS	7	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
