onset	duration	eye	startTime	stopTime
47.115	0.111	L	1740623	1740733
47.107	0.128	R	1740615	1740742
88.162	0.145	L	1781670	1781814
88.15	0.17	R	1781658	1781827
89.807	0.101	L	1783315	1783415
89.806	0.115	R	1783314	1783428
92.177	0.132	R	1785685	1785816
92.178	0.134	L	1785686	1785819
128.972	0.125	L	1822480	1822604
128.976	0.146	R	1822484	1822629
140.85	0.103	R	1834358	1834460
140.849	0.113	L	1834357	1834469
143.783	0.115	L	1837291	1837405
143.787	0.111	R	1837295	1837405
191.157	0.114	L	1884665	1884778
191.159	0.116	R	1884667	1884782
192.966	0.322	R	1886474	1886795
192.96	0.345	L	1886468	1886812
202.031	0.021	R	1895539	1895559
202.104	0.276	R	1895612	1895887
209.395	0.121	L	1902903	1903023
209.399	0.12	R	1902907	1903026
211.398	0.279	R	1904906	1905184
214.448	0.087	R	1907956	1908042
214.439	0.114	L	1907947	1908060
217.34	0.14	L	1910848	1910987
217.335	0.396	R	1910843	1911238
231.442	0.095	R	1924950	1925044
231.429	0.168	L	1924937	1925104
231.792	0.201	R	1925300	1925500
231.77	0.251	L	1925278	1925528
239.442	0.098	R	1932950	1933047
239.44	0.107	L	1932948	1933054
261.38	0.096	L	1954888	1954983
261.381	0.104	R	1954889	1954992
265.436	0.128	R	1958944	1959071
265.433	0.163	L	1958941	1959103
271.173	0.137	L	1964681	1964817
275.597	0.098	L	1969105	1969202
275.596	0.115	R	1969104	1969218
345.52	0.108	R	2039028	2039135
345.514	0.135	L	2039022	2039156
348.058	0.139	L	2041566	2041704
348.067	0.139	R	2041575	2041713
356.13	0.118	L	2049638	2049755
356.138	0.124	R	2049646	2049769
368.926	0.265	L	2062434	2062698
368.949	0.242	R	2062457	2062698
369.984	0.209	R	2063492	2063700
369.972	0.233	L	2063480	2063712
374.578	0.081	R	2068086	2068166
374.566	0.106	L	2068074	2068179
382.218	0.094	R	2075726	2075819
382.204	0.113	L	2075712	2075824
385.972	0.101	R	2079480	2079580
385.962	0.125	L	2079470	2079594
387.777	0.116	L	2081285	2081400
387.774	0.121	R	2081282	2081402
393.54	0.089	R	2087048	2087136
393.539	0.104	L	2087047	2087150
397.625	0.086	R	2091133	2091218
397.626	0.093	L	2091134	2091226
400.807	0.107	L	2094315	2094421
400.807	0.115	R	2094315	2094429
403.029	0.095	R	2096537	2096631
403.031	0.098	L	2096539	2096636
416.255	0.108	L	2109763	2109870
416.264	0.122	R	2109772	2109893
418.839	0.025	R	2112347	2112371
