participant_id	condition	accuracy	reaction_time
sub-23792	incongruent	1	0.943
sub-23792	incongruent	1	0.616
sub-23792	incongruent	1	0.550
sub-23792	congruent	1	0.509
sub-23792	incongruent	0	0.405
sub-23792	incongruent	1	0.573
sub-23792	incongruent	1	0.493
sub-23792	congruent	1	0.478
sub-23792	congruent	1	0.513
sub-23792	incongruent	0	0.315
sub-23792	congruent	1	0.511
sub-23792	incongruent	1	0.505
sub-23792	incongruent	0	0.333
sub-23792	congruent	1	0.480
sub-23792	congruent	1	0.517
sub-23792	congruent	1	0.421
sub-23792	incongruent	1	0.489
sub-23792	congruent	0	0.374
sub-23792	congruent	1	0.482
sub-23792	incongruent	0	0.506
sub-23792	congruent	1	0.616
sub-23792	congruent	1	0.467
sub-23792	congruent	1	0.480
sub-23792	congruent	1	0.425
sub-23792	congruent	1	0.327
sub-23792	incongruent	0	0.441
sub-23792	incongruent	0	0.399
sub-23792	incongruent	0	0.405
sub-23792	congruent	1	0.502
sub-23792	congruent	1	0.452
sub-23792	congruent	1	0.525
sub-23792	congruent	1	0.363
sub-23792	congruent	1	0.368
sub-23792	incongruent	0	0.066
sub-23792	incongruent	1	0.579
sub-23792	congruent	1	0.515
sub-23792	incongruent	0	0.441
sub-23792	incongruent	1	0.673
sub-23792	congruent	1	0.533
sub-23792	congruent	1	0.456
sub-23792	incongruent	1	0.480
sub-23792	incongruent	1	0.436
sub-23792	congruent	1	0.559
sub-23792	incongruent	0	0.410
sub-23792	congruent	1	0.370
sub-23792	congruent	1	0.927
sub-23792	incongruent	1	0.608
sub-23792	incongruent	0	0.397
sub-23792	congruent	1	0.452
sub-23792	congruent	1	0.697
sub-23792	incongruent	0	0.470
sub-23792	incongruent	1	0.540
sub-23792	congruent	1	0.596
sub-23792	incongruent	1	0.553
sub-23792	incongruent	0	0.349
sub-23792	incongruent	1	0.390
sub-23792	incongruent	1	0.307
sub-23792	congruent	0	0.025
sub-23792	congruent	1	0.468
sub-23792	incongruent	1	0.329
sub-23792	congruent	1	0.705
sub-23792	congruent	1	0.387
sub-23792	incongruent	0	0.433
sub-23792	congruent	0	0.014
sub-23792	incongruent	1	0.485
sub-23792	incongruent	1	0.428
sub-23792	congruent	1	0.801
sub-23792	congruent	0	1.372
sub-23792	incongruent	1	0.590
sub-23792	incongruent	1	0.450
