participant_id	condition	accuracy	reaction_time
sub-23885	incongruent	1.0	0.723
sub-23885	congruent	1.0	0.508
sub-23885	congruent	1.0	0.369
sub-23885	congruent	1.0	0.449
sub-23885	incongruent	0.0	0.362
sub-23885	congruent	1.0	0.471
sub-23885	congruent	1.0	0.482
sub-23885	congruent	1.0	0.388
sub-23885	incongruent	1.0	0.595
sub-23885	congruent	1.0	0.494
sub-23885	incongruent	1.0	0.505
sub-23885	incongruent	1.0	0.547
sub-23885	congruent	1.0	0.562
sub-23885	incongruent	1.0	0.778
sub-23885	congruent	1.0	0.423
sub-23885	incongruent	1.0	0.497
sub-23885	congruent	1.0	0.551
sub-23885	incongruent	1.0	0.612
sub-23885	congruent	1.0	0.462
sub-23885	incongruent	1.0	0.616
sub-23885	incongruent	1.0	0.586
sub-23885	incongruent	1.0	0.604
sub-23885	incongruent	1.0	0.639
sub-23885	congruent	1.0	0.492
sub-23885	congruent	1.0	0.496
sub-23885	incongruent	1.0	0.480
sub-23885	incongruent	1.0	0.598
sub-23885	incongruent	1.0	0.542
sub-23885	congruent	1.0	0.519
sub-23885	incongruent	1.0	0.492
sub-23885	incongruent	1.0	0.420
sub-23885	congruent	1.0	0.430
sub-23885	congruent	1.0	0.352
sub-23885	congruent	1.0	0.393
sub-23885	congruent	1.0	0.417
sub-23885	congruent	1.0	0.439
sub-23885	incongruent	1.0	0.587
sub-23885	congruent	1.0	0.392
sub-23885	incongruent	1.0	0.503
sub-23885	congruent	1.0	0.409
sub-23885	incongruent	1.0	0.573
sub-23885	incongruent	1.0	0.553
sub-23885	congruent	1.0	0.490
sub-23885	congruent	1.0	0.429
sub-23885	incongruent	1.0	0.552
sub-23885	congruent	1.0	0.484
sub-23885	congruent	1.0	0.409
sub-23885	congruent	1.0	0.424
sub-23885	congruent	1.0	0.403
sub-23885	incongruent	1.0	0.681
sub-23885	congruent	1.0	0.441
sub-23885	incongruent	1.0	0.498
sub-23885	incongruent	1.0	0.471
sub-23885	incongruent	1.0	0.639
sub-23885	incongruent	1.0	0.551
sub-23885	incongruent	1.0	0.478
sub-23885	congruent	1.0	0.418
sub-23885	incongruent	1.0	0.441
sub-23885	congruent	1.0	0.372
sub-23885	incongruent	1.0	0.470
sub-23885	congruent	1.0	0.552
sub-23885	incongruent	0.0	0.356
sub-23885	incongruent	1.0	0.549
sub-23885	incongruent	1.0	0.690
sub-23885	incongruent	1.0	0.485
sub-23885	congruent	1.0	0.418
sub-23885	congruent	1.0	0.417
sub-23885	congruent	1.0	0.349
sub-23885	incongruent	1.0	0.502
sub-23885	incongruent	0.0	0.329
sub-23885	congruent	1.0	0.368
sub-23885	incongruent	1.0	0.572
sub-23885	congruent	1.0	0.374
sub-23885	congruent	1.0	0.398
sub-23885	incongruent	0.0	0.391
sub-23885	congruent	1.0	0.390
sub-23885	incongruent	1.0	0.506
sub-23885	congruent	1.0	0.415
sub-23885	congruent	1.0	0.359
sub-23885	congruent	1.0	0.447
sub-23885	incongruent	1.0	0.547
sub-23885	incongruent	0.0	0.369
sub-23885	incongruent	1.0	0.493
sub-23885	congruent	1.0	0.336
sub-23885	incongruent	1.0	0.469
sub-23885	incongruent	1.0	0.454
