onset	duration	eye	startTime	stopTime
14.087	0.073	R	620152	620224
14.062	0.138	L	620127	620264
16.33	0.012	L	622395	622406
18.712	0.055	R	624777	624831
18.7	0.106	L	624765	624870
20.863	0.082	R	626928	627009
20.853	0.113	L	626918	627030
21.833	0.097	R	627898	627994
21.828	0.133	L	627893	628025
26.872	0.06	R	632937	632996
26.865	0.092	L	632930	633021
30.913	0.051	L	636978	637028
35.775	0.074	L	641840	641913
39.089	0.052	R	645154	645205
39.067	0.098	L	645132	645229
46.342	0.086	L	652407	652492
46.427	0.011	R	652492	652502
50.085	0.023	L	656150	656172
52.003	0.029	L	658068	658096
54.669	0.058	L	660734	660791
56.176	0.016	R	662241	662256
56.107	0.119	L	662172	662290
58.365	0.099	L	664430	664528
59.736	0.048	R	665801	665848
59.724	0.093	L	665789	665881
63.004	0.028	R	669069	669096
63.004	0.036	L	669069	669104
64.348	0.487	R	670413	670899
64.329	0.539	L	670394	670932
67.988	0.02	R	674053	674072
67.971	0.071	L	674036	674106
71.815	0.109	R	677880	677988
71.786	0.179	L	677851	678029
72.993	0.217	R	679058	679274
73.0	0.248	L	679065	679312
75.445	0.041	R	681510	681550
75.427	0.082	L	681492	681573
80.116	0.101	R	686181	686281
80.114	0.168	L	686179	686346
81.283	0.149	R	687348	687496
81.275	0.187	L	687340	687526
84.326	0.055	L	690391	690445
87.881	0.024	R	693946	693969
87.882	0.031	L	693947	693977
89.322	0.059	R	695387	695445
89.308	0.092	L	695373	695464
92.525	0.011	R	698590	698600
92.507	0.072	L	698572	698643
96.375	0.047	R	702440	702486
96.324	0.225	L	702389	702613
97.704	0.109	R	703769	703877
97.688	0.155	L	703753	703907
98.555	0.285	R	704620	704904
98.54	0.344	L	704605	704948
119.707	0.072	L	725772	725843
123.475	0.028	R	729540	729567
123.451	0.073	L	729516	729588
125.213	0.047	L	731278	731324
129.661	0.079	L	735726	735804
133.384	0.04	L	739449	739488
139.626	0.034	R	745691	745724
139.618	0.083	L	745683	745765
156.023	0.016	L	762088	762103
158.288	0.038	L	764353	764390
164.997	0.034	L	771062	771095
