participant_id	trial_type	accuracy
sub-24268	BY	1
sub-24268	AX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BY	1
sub-24268	BY	1
sub-24268	AY	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AY	0
sub-24268	BY	1
sub-24268	AX	1
sub-24268	AY	1
sub-24268	AX	0
sub-24268	AX	1
sub-24268	BY	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BX	1
sub-24268	AX	1
sub-24268	BY	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AY	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BY	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BY	1
sub-24268	AX	1
sub-24268	BX	0
sub-24268	AX	1
sub-24268	AY	0
sub-24268	AX	1
sub-24268	AY	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	0
sub-24268	AY	0
sub-24268	n/a	n/a
sub-24268	AY	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	0
sub-24268	AX	0
sub-24268	AX	0
sub-24268	AX	1
sub-24268	AX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BX	1
sub-24268	BY	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AY	1
sub-24268	AX	1
sub-24268	AY	0
sub-24268	AY	0
sub-24268	AX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BY	1
sub-24268	AX	1
sub-24268	BX	1
sub-24268	AX	1
sub-24268	BX	1
sub-24268	AX	1
sub-24268	BX	0
sub-24268	BX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BY	1
sub-24268	AX	0
sub-24268	BY	0
sub-24268	AY	1
sub-24268	AX	0
sub-24268	AX	0
sub-24268	AX	0
sub-24268	BX	1
sub-24268	AX	1
sub-24268	BX	0
sub-24268	n/a	n/a
sub-24268	AX	1
sub-24268	BX	1
sub-24268	AY	0
sub-24268	AX	0
sub-24268	AX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BY	0
sub-24268	AX	1
sub-24268	AX	0
sub-24268	BY	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AY	0
sub-24268	AX	0
sub-24268	AX	0
sub-24268	AX	1
sub-24268	BY	1
sub-24268	AX	0
sub-24268	AX	1
sub-24268	BX	0
sub-24268	AX	1
sub-24268	BX	1
sub-24268	AY	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	AX	0
sub-24268	AX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	BX	0
sub-24268	AX	0
sub-24268	AX	1
sub-24268	AX	1
sub-24268	n/a	n/a
