participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-23468	Go	n/a	0.615	1	n/a
sub-23468	Stop	0.750	0.000	0	0
sub-23468	Stop	0.800	0.000	0	1
sub-23468	Go	n/a	0.501	1	n/a
sub-23468	Go	n/a	0.726	1	n/a
sub-23468	Go	n/a	0.533	1	n/a
sub-23468	Go	n/a	0.407	1	n/a
sub-23468	Go	n/a	0.449	1	n/a
sub-23468	Go	n/a	0.539	1	n/a
sub-23468	Stop	0.750	0.000	0	0
sub-23468	Stop	0.800	0.000	0	1
sub-23468	Go	n/a	0.625	0	n/a
sub-23468	Go	n/a	0.669	1	n/a
sub-23468	Go	n/a	0.541	1	n/a
sub-23468	Stop	0.750	0.000	0	1
sub-23468	Stop	0.700	0.000	0	1
sub-23468	Go	n/a	0.947	1	n/a
sub-23468	Go	n/a	0.623	1	n/a
sub-23468	Go	n/a	0.573	1	n/a
sub-23468	Go	n/a	0.544	1	n/a
sub-23468	Go	n/a	0.560	1	n/a
sub-23468	Stop	0.750	0.000	0	0
sub-23468	Go	n/a	0.638	1	n/a
sub-23468	Go	n/a	0.741	1	n/a
sub-23468	Stop	0.800	0.000	0	1
sub-23468	Stop	0.750	0.000	0	1
sub-23468	Go	n/a	0.643	1	n/a
sub-23468	Go	n/a	0.570	1	n/a
sub-23468	Go	n/a	0.628	1	n/a
sub-23468	Go	n/a	0.718	1	n/a
sub-23468	Go	n/a	0.610	1	n/a
sub-23468	Go	n/a	0.660	1	n/a
sub-23468	Go	n/a	0.812	1	n/a
sub-23468	Go	n/a	0.620	1	n/a
sub-23468	Stop	0.700	0.000	0	1
sub-23468	Stop	0.650	0.000	0	1
sub-23468	Stop	0.600	0.000	0	0
sub-23468	Go	n/a	0.651	1	n/a
sub-23468	Go	n/a	0.685	1	n/a
sub-23468	Go	n/a	0.587	1	n/a
sub-23468	Go	n/a	0.871	1	n/a
sub-23468	Stop	0.650	0.000	0	1
sub-23468	Go	n/a	0.558	1	n/a
sub-23468	Go	n/a	0.000	0	n/a
sub-23468	Go	n/a	0.767	1	n/a
sub-23468	Go	n/a	0.742	1	n/a
sub-23468	Stop	0.600	0.000	0	1
sub-23468	Go	n/a	0.654	1	n/a
sub-23468	Go	n/a	0.638	1	n/a
sub-23468	Go	n/a	0.680	1	n/a
sub-23468	Stop	0.550	0.000	0	1
sub-23468	Go	n/a	0.798	1	n/a
sub-23468	Go	n/a	0.000	0	n/a
sub-23468	Go	n/a	0.676	1	n/a
sub-23468	Stop	0.500	0.000	0	0
sub-23468	Go	n/a	0.000	0	n/a
sub-23468	Go	n/a	0.000	0	n/a
sub-23468	Go	n/a	0.622	1	n/a
sub-23468	Stop	0.550	0.000	0	0
sub-23468	Go	n/a	0.681	1	n/a
sub-23468	Go	n/a	0.873	1	n/a
sub-23468	Stop	0.600	0.000	0	0
sub-23468	Go	n/a	0.703	1	n/a
sub-23468	Stop	0.650	0.000	0	1
sub-23468	Go	n/a	0.541	1	n/a
sub-23468	Stop	0.600	0.000	0	0
sub-23468	Go	n/a	0.723	1	n/a
sub-23468	Go	n/a	0.792	1	n/a
sub-23468	Stop	0.650	0.000	0	1
sub-23468	Stop	0.600	0.000	0	1
sub-23468	Go	n/a	0.505	1	n/a
sub-23468	Go	n/a	0.000	0	n/a
sub-23468	Go	n/a	0.954	1	n/a
sub-23468	Go	n/a	0.611	1	n/a
sub-23468	Go	n/a	0.974	1	n/a
sub-23468	Go	n/a	0.641	1	n/a
