onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.012	0.386	L	619388	619773	710.4	425.5	1186
0.012	0.387	R	619388	619774	805.9	391.6	1065
0.425	0.172	R	619801	619972	1021.6	500.0	1051
0.425	0.174	L	619801	619974	926.4	531.0	1184
0.615	6.195	L	619991	626185	905.2	566.1	1301
0.614	6.197	R	619990	626186	995.6	532.8	1122
6.829	0.251	L	626205	626455	861.7	560.0	1387
6.829	0.251	R	626205	626455	952.4	542.8	1151
7.097	0.218	R	626473	626690	913.7	541.8	1172
7.097	0.22	L	626473	626692	823.1	557.9	1397
7.333	0.222	L	626709	626930	783.7	534.6	1352
7.332	0.223	R	626708	626930	870.8	515.9	1150
7.746	0.372	R	627122	627493	927.4	521.4	1043
7.747	0.372	L	627123	627494	832.7	549.9	1190
8.145	0.228	L	627521	627748	981.0	546.9	1110
8.144	0.229	R	627520	627748	1060.7	532.9	946
8.393	6.636	L	627769	634404	913.3	552.9	1301
8.393	6.636	R	627769	634404	993.3	525.5	1097
15.044	0.046	R	634420	634465	949.8	501.5	1227
15.043	0.049	L	634419	634467	883.8	530.3	1442
15.132	0.1	L	634508	634607	1281.9	533.3	1418
15.262	0.218	L	634638	634855	964.3	519.4	1434
15.276	0.205	R	634652	634856	1035.4	502.6	1192
15.506	0.219	R	634882	635100	941.1	492.9	1199
15.507	0.219	L	634883	635101	870.1	511.7	1420
15.742	0.176	L	635118	635293	838.0	512.3	1392
15.74	0.178	R	635116	635293	904.4	493.0	1175
16.061	0.168	R	635437	635604	901.3	527.0	1099
16.061	0.169	L	635437	635605	839.9	553.5	1266
16.253	0.226	L	635629	635854	967.1	567.1	1204
16.252	0.227	R	635628	635854	1032.2	534.3	1050
16.502	0.274	R	635878	636151	920.0	539.7	1046
16.503	0.275	L	635879	636153	854.5	570.1	1202
16.801	0.094	R	636177	636270	1045.8	551.8	1047
16.802	0.101	L	636178	636278	977.4	570.4	1217
16.954	0.051	L	636330	636380	966.8	495.4	1321
17.023	0.107	L	636399	636505	899.5	440.0	1444
17.151	2.127	L	636527	638653	913.3	542.2	1332
17.2	2.079	R	636576	638654	994.1	539.1	1112
19.295	0.211	L	638671	638881	864.9	559.4	1333
19.295	0.213	R	638671	638883	959.9	546.7	1183
19.524	0.279	R	638900	639178	913.5	555.5	1204
19.822	0.264	R	639198	639461	871.1	503.5	1169
19.533	0.554	L	638909	639462	797.0	515.8	1381
20.128	0.061	L	639504	639564	1112.5	604.9	1263
20.333	0.019	L	639709	639727	1128.5	616.0	1212
20.333	0.02	R	639709	639728	1201.9	593.2	1057
20.376	0.141	R	639752	639892	1069.5	530.0	1078
20.376	0.142	L	639752	639893	999.5	558.3	1202
20.542	0.168	R	639918	640085	938.8	528.9	1114
20.541	0.339	L	639917	640255	852.7	559.3	1221
20.725	0.155	R	640101	640255	905.3	534.8	1141
20.905	0.243	R	640281	640523	1058.8	531.9	1100
20.904	0.245	L	640280	640524	977.4	555.6	1216
21.173	0.138	R	640549	640686	944.6	534.2	1073
21.176	0.137	L	640552	640688	856.7	548.9	1188
21.332	4.446	R	640708	645153	989.0	541.6	990
25.981	0.041	R	645357	645397	981.3	536.6	1030
26.04	0.071	R	645416	645486	976.5	542.0	1042
26.188	0.06	R	645564	645623	977.1	540.9	1054
26.318	0.068	R	645694	645761	967.0	547.8	1063
26.543	0.044	R	645919	645962	968.5	538.8	1084
26.799	0.078	R	646175	646252	966.6	547.2	1094
21.332	6.277	L	640708	646984	924.9	552.8	1150
26.908	0.702	R	646284	646985	969.7	552.1	1007
27.648	0.246	L	647024	647269	663.4	545.0	1067
27.649	0.246	R	647025	647270	707.0	541.0	984
27.91	0.416	L	647286	647701	616.4	530.2	1132
27.91	0.416	R	647286	647701	669.5	534.9	1030
28.341	0.172	L	647717	647888	600.5	508.1	1136
28.341	0.172	R	647717	647888	650.3	515.8	1027
28.654	0.337	R	648030	648366	923.8	530.7	1032
28.654	0.338	L	648030	648367	884.8	527.6	1162
29.066	0.107	R	648442	648548	1041.0	539.5	1034
29.013	0.294	L	648389	648682	997.6	541.8	1170
29.206	0.101	R	648582	648682	1039.6	537.0	1030
29.332	0.257	L	648708	648964	873.0	550.2	1155
29.332	0.257	R	648708	648964	908.6	551.6	1031
29.608	2.196	R	648984	651179	975.1	556.5	972
29.608	2.197	L	648984	651180	929.1	561.8	1097
31.837	0.155	R	651213	651367	733.8	545.5	997
31.835	0.158	L	651211	651368	696.6	537.7	1099
32.015	0.119	L	651391	651509	814.1	531.6	1131
32.015	0.12	R	651391	651510	863.9	549.1	1022
32.158	0.129	R	651534	651662	729.2	531.1	1053
32.158	0.131	L	651534	651664	695.1	525.3	1161
32.306	0.132	L	651682	651813	746.9	522.4	1152
32.306	0.132	R	651682	651813	784.6	528.2	1041
32.456	0.22	R	651832	652051	724.1	509.3	1000
32.458	0.219	L	651834	652052	688.3	495.0	1102
32.694	0.14	L	652070	652209	654.8	480.3	1050
32.693	0.141	R	652069	652209	679.8	489.0	959
32.976	0.205	L	652352	652556	840.6	541.0	1002
32.976	0.206	R	652352	652557	869.5	527.2	878
33.204	0.164	L	652580	652743	967.7	538.7	984
33.204	0.166	R	652580	652745	991.0	534.9	848
33.385	0.299	L	652761	653059	1011.5	538.1	981
33.385	0.299	R	652761	653059	1038.0	538.9	849
33.712	0.212	R	653088	653299	918.5	534.4	872
33.712	0.213	L	653088	653300	883.2	534.2	1000
33.942	1.648	R	653318	654965	976.5	542.2	908
35.608	0.132	R	654984	655115	973.3	537.0	1021
35.766	0.044	R	655142	655185	974.0	532.0	1034
35.834	0.115	R	655210	655324	973.1	530.7	1039
36.154	0.026	R	655530	655555	978.3	533.6	1076
36.31	0.034	R	655686	655719	956.2	554.5	1108
33.943	2.56	L	653319	655878	934.5	550.6	1115
36.582	0.073	R	655958	656030	1250.6	405.0	1242
36.535	0.234	L	655911	656144	1219.2	534.0	1303
36.852	0.051	R	656228	656278	1285.8	405.9	1241
36.792	0.114	L	656168	656281	1259.6	551.3	1283
36.962	0.177	L	656338	656514	2040.6	489.5	1193
37.282	0.047	R	656658	656704	1786.1	385.2	1061
37.28	0.124	L	656656	656779	1783.4	492.7	1186
37.384	0.023	R	656760	656782	1791.7	446.0	1020
37.459	0.033	L	656835	656867	968.9	330.2	1531
37.517	0.208	L	656893	657100	967.4	518.5	1315
37.75	0.192	L	657126	657317	956.2	471.2	1445
37.459	0.497	R	656835	657331	1006.0	528.8	1179
38.018	0.181	L	657394	657574	1698.3	495.7	1289
38.254	0.029	L	657630	657658	876.1	334.1	1626
38.31	0.09	L	657686	657775	880.5	508.3	1318
38.254	0.146	R	657630	657775	939.6	535.2	1129
38.417	1.65	L	657793	659442	921.9	555.0	1171
38.418	1.65	R	657794	659443	981.8	563.6	1022
40.088	0.103	L	659464	659566	871.5	518.1	1209
40.237	0.196	L	659613	659808	905.5	565.6	1135
40.249	0.186	R	659625	659810	956.4	577.5	964
40.458	0.135	L	659834	659968	768.8	560.2	1115
40.458	0.135	R	659834	659968	824.8	552.2	998
40.675	0.261	L	660051	660311	1848.5	521.6	1075
40.713	0.224	R	660089	660312	1898.8	493.0	858
40.952	0.174	R	660328	660501	1852.1	497.5	868
40.952	0.175	L	660328	660502	1802.3	521.4	1082
41.225	0.185	L	660601	660785	441.6	508.3	1192
41.213	0.197	R	660589	660785	476.2	479.3	1116
41.552	0.093	L	660928	661020	445.6	507.5	1252
41.552	0.093	R	660928	661020	467.5	488.2	1169
41.688	0.192	L	661064	661255	927.2	548.1	1277
41.687	0.193	R	661063	661255	965.6	536.0	1157
41.899	0.22	R	661275	661494	895.1	553.5	1199
41.899	0.221	L	661275	661495	863.5	554.3	1327
42.142	0.322	L	661518	661839	990.4	540.6	1341
42.143	0.321	R	661519	661839	1028.5	544.0	1203
42.483	2.222	L	661859	664080	919.2	558.4	1194
42.482	2.223	R	661858	664080	978.1	555.1	1061
44.737	0.105	R	664113	664217	718.0	547.5	994
44.735	0.109	L	664111	664219	669.6	574.9	1102
44.87	0.103	L	664246	664348	859.7	614.4	1098
44.869	0.105	R	664245	664349	909.5	590.1	995
45.012	0.131	L	664388	664518	476.4	533.6	1125
45.013	0.131	R	664389	664519	524.6	515.4	1038
45.166	0.136	L	664542	664677	344.6	536.6	1140
45.167	0.135	R	664543	664677	399.9	530.0	1077
45.318	0.412	L	664694	665105	303.3	537.7	1160
45.317	0.413	R	664693	665105	366.5	544.0	1104
45.877	0.024	L	665253	665276	318.1	522.0	1177
45.877	0.024	R	665253	665276	370.6	549.8	1097
45.947	0.437	L	665323	665759	886.2	528.1	1145
45.945	0.439	R	665321	665759	936.5	547.1	1040
46.407	0.286	L	665783	666068	1012.6	533.5	1133
46.406	0.288	R	665782	666069	1069.5	553.4	980
46.718	0.162	L	666094	666255	909.6	538.7	1092
46.72	0.16	R	666096	666255	955.0	551.3	957
46.895	6.311	R	666271	672581	974.6	561.4	999
46.896	6.314	L	666272	672585	934.3	562.3	1153
53.279	0.039	L	672655	672693	1752.0	565.0	1254
53.347	0.169	L	672723	672891	2095.1	548.3	1220
53.547	0.177	L	672923	673099	1758.8	555.2	1241
53.808	0.029	L	673184	673212	401.9	399.3	1671
53.856	0.2	L	673232	673431	412.8	538.5	1289
53.806	0.25	R	673182	673431	461.1	519.2	1185
54.201	0.117	L	673577	673693	328.3	590.4	1333
54.201	0.117	R	673577	673693	378.9	576.8	1220
54.362	0.275	R	673738	674012	961.6	550.9	1183
54.364	0.275	L	673740	674014	918.3	556.7	1368
54.658	0.281	L	674034	674314	998.3	552.6	1368
54.659	0.28	R	674035	674314	1046.5	548.2	1159
54.959	0.225	R	674335	674559	941.3	564.3	1136
55.2	0.327	R	674576	674902	975.3	589.4	1071
54.961	0.603	L	674337	674939	930.7	561.5	1284
55.939	2.207	L	675315	677521	934.1	550.0	1105
56.089	2.059	R	675465	677523	989.8	562.8	929
58.162	3.396	L	677538	680933	929.2	566.6	1098
58.163	3.397	R	677539	680935	969.9	560.2	942
61.605	0.049	R	680981	681029	815.4	614.8	1050
61.603	0.052	L	680979	681030	773.0	565.6	1305
61.713	0.053	L	681089	681141	1565.3	585.6	1212
61.79	0.31	L	681166	681475	1747.9	577.4	1188
62.187	0.194	L	681563	681756	278.7	526.1	1321
62.188	0.193	R	681564	681756	321.3	568.8	1165
62.524	0.075	L	681900	681974	179.4	555.0	1273
62.524	0.075	R	681900	681974	238.9	577.2	1166
62.648	0.352	L	682024	682375	938.1	543.0	1257
62.647	0.354	R	682023	682376	975.1	548.2	1086
