participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-24190	Go	n/a	0.000	0	n/a
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Go	n/a	0.689	1	n/a
sub-24190	Go	n/a	0.605	1	n/a
sub-24190	Stop	0.800	0.000	0	1
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Go	n/a	0.400	1	n/a
sub-24190	Go	n/a	0.528	1	n/a
sub-24190	Go	n/a	0.483	1	n/a
sub-24190	Go	n/a	0.424	1	n/a
sub-24190	Stop	0.800	0.000	0	0
sub-24190	Stop	0.850	0.000	0	0
sub-24190	Go	n/a	0.556	1	n/a
sub-24190	Stop	0.900	0.000	0	0
sub-24190	Go	n/a	0.487	1	n/a
sub-24190	Go	n/a	0.441	1	n/a
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Go	n/a	0.000	0	n/a
sub-24190	Go	n/a	0.602	1	n/a
sub-24190	Go	n/a	0.325	1	n/a
sub-24190	Go	n/a	0.378	1	n/a
sub-24190	Go	n/a	0.318	1	n/a
sub-24190	Go	n/a	0.406	1	n/a
sub-24190	Stop	0.800	0.000	0	1
sub-24190	Go	n/a	0.380	1	n/a
sub-24190	Stop	0.750	0.000	0	1
sub-24190	Go	n/a	0.344	1	n/a
sub-24190	Go	n/a	0.447	1	n/a
sub-24190	Stop	0.700	0.000	0	0
sub-24190	Go	n/a	0.380	1	n/a
sub-24190	Go	n/a	0.400	1	n/a
sub-24190	Go	n/a	0.421	1	n/a
sub-24190	Go	n/a	0.480	1	n/a
sub-24190	Stop	0.750	0.000	0	1
sub-24190	Go	n/a	0.529	1	n/a
sub-24190	Stop	0.700	0.000	0	0
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Go	n/a	0.479	1	n/a
sub-24190	Go	n/a	0.476	1	n/a
sub-24190	Go	n/a	0.513	1	n/a
sub-24190	Go	n/a	0.518	1	n/a
sub-24190	Go	n/a	0.445	1	n/a
sub-24190	Go	n/a	0.543	1	n/a
sub-24190	Go	n/a	0.391	1	n/a
sub-24190	Go	n/a	0.445	1	n/a
sub-24190	Go	n/a	0.442	1	n/a
sub-24190	Go	n/a	0.518	1	n/a
sub-24190	Go	n/a	0.380	1	n/a
sub-24190	Go	n/a	0.292	1	n/a
sub-24190	Go	n/a	0.430	1	n/a
sub-24190	Go	n/a	0.330	1	n/a
sub-24190	Go	n/a	0.366	1	n/a
sub-24190	Stop	0.800	0.000	0	0
sub-24190	Go	n/a	0.422	1	n/a
sub-24190	Go	n/a	0.343	1	n/a
sub-24190	Stop	0.850	0.000	0	0
sub-24190	Stop	0.900	0.000	0	0
sub-24190	Stop	0.950	0.000	0	1
sub-24190	Stop	0.900	0.000	0	1
sub-24190	Go	n/a	0.599	1	n/a
sub-24190	Go	n/a	0.431	1	n/a
sub-24190	Go	n/a	0.421	1	n/a
sub-24190	Stop	0.850	0.000	0	1
sub-24190	Stop	0.800	0.000	0	1
sub-24190	Stop	0.750	0.000	0	1
sub-24190	Go	n/a	0.437	1	n/a
sub-24190	Go	n/a	0.430	1	n/a
sub-24190	Go	n/a	0.520	1	n/a
sub-24190	Go	n/a	0.317	1	n/a
sub-24190	Go	n/a	0.477	1	n/a
sub-24190	Go	n/a	0.382	1	n/a
sub-24190	Go	n/a	0.617	1	n/a
sub-24190	Stop	0.700	0.000	0	0
sub-24190	Go	n/a	0.515	0	n/a
sub-24190	Go	n/a	0.471	1	n/a
sub-24190	Go	n/a	0.486	1	n/a
sub-24190	Go	n/a	0.415	1	n/a
sub-24190	Go	n/a	0.393	1	n/a
sub-24190	Go	n/a	0.356	1	n/a
sub-24190	Go	n/a	0.601	1	n/a
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Stop	0.800	0.000	0	1
sub-24190	Go	n/a	0.435	1	n/a
sub-24190	Go	n/a	0.422	1	n/a
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Go	n/a	0.562	1	n/a
sub-24190	Stop	0.800	0.000	0	1
sub-24190	Go	n/a	0.484	1	n/a
sub-24190	Go	n/a	0.437	1	n/a
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Go	n/a	0.457	1	n/a
sub-24190	Go	n/a	0.396	1	n/a
sub-24190	Go	n/a	0.642	1	n/a
sub-24190	Go	n/a	0.324	1	n/a
sub-24190	Go	n/a	0.613	1	n/a
sub-24190	Go	n/a	0.323	1	n/a
sub-24190	Go	n/a	0.459	0	n/a
sub-24190	Stop	0.800	0.000	0	0
sub-24190	Go	n/a	0.546	1	n/a
sub-24190	Go	n/a	0.421	1	n/a
sub-24190	Go	n/a	0.538	1	n/a
sub-24190	Go	n/a	0.541	1	n/a
sub-24190	Go	n/a	0.471	1	n/a
sub-24190	Go	n/a	0.494	1	n/a
sub-24190	Go	n/a	0.952	1	n/a
sub-24190	Go	n/a	0.482	1	n/a
sub-24190	Go	n/a	0.327	0	n/a
sub-24190	Go	n/a	0.449	1	n/a
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Stop	0.800	0.000	0	1
sub-24190	Go	n/a	0.572	1	n/a
sub-24190	Go	n/a	0.386	1	n/a
sub-24190	Go	n/a	0.325	1	n/a
sub-24190	Go	n/a	0.344	1	n/a
sub-24190	Stop	0.750	0.000	0	0
sub-24190	Go	n/a	0.493	1	n/a
sub-24190	Stop	0.800	0.000	0	0
sub-24190	Go	n/a	0.741	1	n/a
sub-24190	Stop	0.850	0.000	0	0
sub-24190	Go	n/a	0.398	1	n/a
sub-24190	Go	n/a	0.390	0	n/a
