onset	duration	eye	startTime	stopTime
23.684	0.572	R	2018756	2019326
24.394	0.498	R	2019466	2019962
72.406	0.026	L	2067478	2067502
73.748	0.052	L	2068820	2068870
79.948	0.056	L	2075020	2075074
226.228	0.12	R	2221300	2221418
226.212	0.172	L	2221284	2221454
233.342	0.108	R	2228414	2228520
233.314	0.182	L	2228386	2228566
280.756	0.058	R	2275828	2275884
280.75	0.078	L	2275822	2275898
333.978	0.054	R	2329050	2329102
333.978	0.062	L	2329050	2329110
349.11	0.038	R	2344182	2344218
349.104	0.088	L	2344176	2344262
458.906	0.106	L	2453978	2454082
497.45	0.054	R	2492522	2492574
497.436	0.09	L	2492508	2492596
544.02	0.062	R	2539092	2539152
543.996	0.118	L	2539068	2539184
577.776	0.074	L	2572848	2572920
649.494	0.044	R	2644566	2644608
649.486	0.07	L	2644558	2644626
660.47	0.044	R	2655542	2655584
660.444	0.132	L	2655516	2655646
