onset	duration	eye	startTime	stopTime
14.272	0.086	L	1362692	1362776
14.28	0.08	R	1362700	1362778
14.876	0.084	L	1363296	1363378
14.882	0.08	R	1363302	1363380
20.594	0.066	L	1369014	1369078
20.594	0.078	R	1369014	1369090
25.764	0.09	L	1374184	1374272
25.756	0.116	R	1374176	1374290
37.946	0.084	L	1386366	1386448
37.936	0.116	R	1386356	1386470
46.344	0.09	L	1394764	1394852
46.334	0.124	R	1394754	1394876
54.57	0.102	L	1402990	1403090
54.54	0.16	R	1402960	1403118
62.796	0.086	L	1411216	1411300
62.766	0.134	R	1411186	1411318
63.394	0.104	L	1411814	1411916
63.39	0.124	R	1411810	1411932
67.228	0.108	L	1415648	1415754
67.21	0.132	R	1415630	1415760
71.822	0.04	L	1420242	1420280
71.802	0.086	R	1420222	1420306
84.22	0.076	L	1432640	1432714
84.216	0.092	R	1432636	1432726
153.208	0.078	L	1501628	1501704
153.198	0.098	R	1501618	1501714
170.144	0.006	L	1518564	1518568
170.128	0.046	R	1518548	1518592
174.812	0.104	L	1523232	1523334
174.81	0.116	R	1523230	1523344
178.47	0.078	L	1526890	1526966
199.536	0.04	L	1547956	1547994
199.482	0.12	R	1547902	1548020
199.816	0.058	L	1548236	1548292
199.814	0.074	R	1548234	1548306
200.296	0.102	L	1548716	1548816
200.296	0.112	R	1548716	1548826
208.124	0.01	L	1556544	1556552
226.342	0.102	R	1574762	1574862
226.338	0.11	L	1574758	1574866
228.884	0.106	L	1577304	1577408
228.878	0.114	R	1577298	1577410
239.93	0.52	L	1588350	1588868
239.936	0.528	R	1588356	1588882
244.338	0.366	L	1592758	1593122
244.13	0.576	R	1592550	1593124
251.532	0.078	L	1599952	1600028
251.52	0.108	R	1599940	1600046
258.802	0.078	L	1607222	1607298
258.796	0.094	R	1607216	1607308
259.666	0.124	L	1608086	1608208
259.672	0.132	R	1608092	1608222
262.132	0.058	L	1610552	1610608
262.128	0.074	R	1610548	1610620
267.428	0.064	L	1615848	1615910
267.426	0.072	R	1615846	1615916
269.908	0.094	L	1618328	1618420
269.88	0.124	R	1618300	1618422
270.388	0.434	L	1618808	1619240
270.398	0.43	R	1618818	1619246
272.416	0.078	R	1620836	1620912
272.414	0.082	L	1620834	1620914
289.232	0.11	L	1637652	1637760
289.21	0.146	R	1637630	1637774
301.514	0.118	L	1649934	1650050
301.51	0.138	R	1649930	1650066
308.896	0.038	L	1657316	1657352
308.888	0.058	R	1657308	1657364
315.88	0.012	L	1664300	1664310
315.866	0.04	R	1664286	1664324
326.878	0.016	R	1675298	1675312
326.866	0.032	L	1675286	1675316
387.606	0.124	L	1736026	1736148
387.602	0.13	R	1736022	1736150
407.75	0.046	L	1756170	1756214
407.74	0.078	R	1756160	1756236
414.608	0.028	L	1763028	1763054
414.6	0.05	R	1763020	1763068
423.734	0.054	L	1772154	1772206
423.736	0.058	R	1772156	1772212
427.372	0.084	R	1775792	1775874
427.366	0.094	L	1775786	1775878
430.174	0.052	L	1778594	1778644
430.162	0.072	R	1778582	1778652
431.542	0.022	L	1779962	1779982
433.95	0.092	R	1782370	1782460
433.928	0.118	L	1782348	1782464
442.304	0.05	L	1790724	1790772
442.308	0.052	R	1790728	1790778
443.878	0.104	R	1792298	1792400
444.156	0.202	L	1792576	1792776
444.126	0.236	R	1792546	1792780
449.644	0.112	L	1798064	1798174
449.654	0.104	R	1798074	1798176
451.936	0.07	R	1800356	1800424
451.926	0.084	L	1800346	1800428
453.736	0.1	L	1802156	1802254
453.734	0.112	R	1802154	1802264
454.034	0.106	L	1802454	1802558
454.034	0.112	R	1802454	1802564
460.67	0.058	L	1809090	1809146
460.676	0.056	R	1809096	1809150
463.162	0.044	R	1811582	1811624
463.142	0.07	L	1811562	1811630
469.374	0.018	R	1817794	1817810
469.374	0.02	L	1817794	1817812
471.508	0.108	L	1819928	1820034
471.508	0.118	R	1819928	1820044
484.116	0.05	R	1832536	1832584
485.456	0.126	L	1833876	1834000
485.458	0.134	R	1833878	1834010
512.324	0.06	L	1860744	1860802
512.324	0.064	R	1860744	1860806
524.648	0.07	R	1873068	1873136
524.648	0.08	L	1873068	1873146
529.642	0.076	L	1878062	1878136
529.65	0.076	R	1878070	1878144
532.796	0.082	L	1881216	1881296
532.79	0.11	R	1881210	1881318
533.924	0.032	L	1882344	1882374
533.91	0.056	R	1882330	1882384
547.97	0.066	L	1896390	1896454
547.944	0.118	R	1896364	1896480
554.624	0.124	L	1903044	1903166
555.686	0.116	L	1904106	1904220
555.682	0.122	R	1904102	1904222
564.186	0.324	L	1912606	1912928
564.178	0.352	R	1912598	1912948
656.868	0.066	L	2005288	2005352
656.868	0.08	R	2005288	2005366
