onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.374	0.024	R	2972831	2972854	890.3	417.5	970.9	499.1	2.40	164
0.373	0.025	L	2972830	2972854	823.1	424.9	922.9	514.6	2.81	168
2.84	0.06	R	2975297	2975356	1003.1	534.5	1845.0	627.1	16.76	456
2.841	0.07	L	2975298	2975367	951.7	560.4	1837.5	664.9	17.55	416
3.046	0.026	L	2975503	2975528	1825.6	657.8	1586.1	610.9	4.67	340
3.046	0.027	R	2975503	2975529	1845.9	602.1	1637.1	601.1	3.99	251
3.548	0.035	L	2976005	2976039	1563.9	643.1	1526.8	629.5	0.78	107
3.547	0.036	R	2976004	2976039	1579.8	609.2	1538.1	611.2	0.82	88
3.992	0.02	L	2976449	2976468	839.4	540.5	914.5	536.0	1.58	139
3.993	0.02	R	2976450	2976469	874.8	547.9	943.7	548.3	1.45	119
4.469	0.017	L	2976926	2976942	905.2	548.7	857.1	540.0	1.03	97
4.471	0.015	R	2976928	2976942	942.3	560.7	906.0	561.4	0.76	75
4.529	0.125	L	2976986	2977110	863.3	535.2	861.5	493.5	0.89	1445
4.53	0.125	R	2976987	2977111	912.0	541.8	926.0	498.5	0.96	1742
4.767	0.022	L	2977224	2977245	868.3	532.9	951.7	554.7	1.81	141
4.769	0.02	R	2977226	2977245	915.6	549.4	983.8	568.9	1.49	123
11.19	0.051	R	2983647	2983697	1017.4	574.3	1658.3	522.3	13.02	390
11.191	0.052	L	2983648	2983699	959.5	588.4	1582.6	535.5	12.66	347
11.833	0.014	L	2984290	2984303	1583.6	556.5	1543.6	557.4	0.79	76
12.084	0.045	L	2984541	2984585	1544.1	559.1	945.5	541.3	12.18	412
12.083	0.049	R	2984540	2984588	1575.8	544.8	998.5	558.4	11.75	376
12.356	0.152	L	2984813	2984964	970.9	589.3	992.4	500.7	1.93	1625
12.359	0.153	R	2984816	2984968	1003.3	570.8	1051.0	462.5	2.51	1455
12.891	0.016	L	2985348	2985363	978.2	527.0	994.1	564.2	0.85	76
13.058	0.017	R	2985515	2985531	1037.2	569.1	982.8	562.5	1.15	101
13.057	0.019	L	2985514	2985532	992.8	568.0	936.4	539.5	1.33	122
15.305	0.032	R	2987762	2987793	993.6	557.6	1294.4	557.1	6.26	308
15.306	0.032	L	2987763	2987794	952.3	557.9	1237.7	576.5	5.95	279
15.641	0.014	L	2988098	2988111	1230.3	572.6	1268.3	573.4	0.78	86
16.49	0.04	L	2988947	2988986	1240.5	556.7	865.3	543.7	7.81	333
16.492	0.039	R	2988949	2988987	1284.0	581.6	934.9	576.4	7.27	280
16.744	0.145	R	2989201	2989345	935.9	584.1	989.8	504.7	2.03	1635
16.736	0.161	L	2989193	2989353	880.4	583.3	924.1	496.2	2.06	2281
17.134	0.016	L	2989591	2989606	903.4	530.6	860.6	553.4	1.02	98
