onset	duration	eye	startTime	stopTime
4.553	0.054	R	2977010	2977063
4.55	0.065	L	2977007	2977071
12.379	0.08	L	2984836	2984915
12.376	0.091	R	2984833	2984923
16.772	0.069	R	2989229	2989297
16.762	0.093	L	2989219	2989311
24.998	0.075	L	2997455	2997529
25.009	0.067	R	2997466	2997532
29.389	0.047	R	3001846	3001892
29.374	0.07	L	3001831	3001900
35.543	0.166	L	3008000	3008165
35.539	0.174	R	3007996	3008169
42.295	0.071	R	3014752	3014822
46.331	0.204	R	3018788	3018991
46.334	0.219	L	3018791	3019009
50.977	0.042	R	3023434	3023475
59.001	0.1	L	3031458	3031557
58.996	0.12	R	3031453	3031572
65.043	0.085	R	3037500	3037584
67.319	0.128	L	3039776	3039903
67.319	0.131	R	3039776	3039906
84.442	0.245	L	3056899	3057143
84.433	0.26	R	3056890	3057149
91.998	0.091	L	3064455	3064545
91.98	0.109	R	3064437	3064545
95.456	0.063	R	3067913	3067975
95.461	0.072	L	3067918	3067989
96.293	0.167	R	3068750	3068916
96.299	0.179	L	3068756	3068934
110.577	0.061	R	3083034	3083094
110.577	0.068	L	3083034	3083101
138.119	0.043	R	3110576	3110618
145.759	0.042	L	3118216	3118257
145.746	0.071	R	3118203	3118273
149.632	0.078	L	3122089	3122166
149.628	0.086	R	3122085	3122170
152.992	0.067	R	3125449	3125515
152.991	0.083	L	3125448	3125530
154.477	0.066	R	3126934	3126999
154.465	0.083	L	3126922	3127004
168.856	0.087	L	3141313	3141399
168.858	0.09	R	3141315	3141404
180.116	0.053	L	3152573	3152625
180.098	0.113	R	3152555	3152667
183.686	0.1	L	3156143	3156242
183.68	0.113	R	3156137	3156249
187.758	0.044	L	3160215	3160258
187.752	0.06	R	3160209	3160268
192.921	0.003	L	3165378	3165380
196.495	0.023	L	3168952	3168974
195.787	1.353	R	3168244	3169596
197.253	0.323	R	3169710	3170032
199.597	0.027	R	3172054	3172080
204.849	0.104	L	3177306	3177409
204.696	0.572	R	3177153	3177724
206.391	0.002	R	3178848	3178849
208.828	0.053	L	3181285	3181337
208.821	0.065	R	3181278	3181342
209.599	0.114	R	3182056	3182169
209.597	0.123	L	3182054	3182176
211.795	0.009	L	3184252	3184260
213.198	0.259	L	3185655	3185913
213.208	0.251	R	3185665	3185915
221.063	0.135	R	3193520	3193654
221.057	0.143	L	3193514	3193656
223.156	0.097	L	3195613	3195709
223.159	0.096	R	3195616	3195711
226.89	0.115	R	3199347	3199461
226.873	0.162	L	3199330	3199491
228.851	0.116	R	3201308	3201423
228.843	0.131	L	3201300	3201430
231.978	0.11	R	3204435	3204544
231.975	0.117	L	3204432	3204548
234.283	0.161	L	3206740	3206900
239.519	0.071	L	3211976	3212046
239.52	0.088	R	3211977	3212064
242.038	0.104	L	3214495	3214598
242.038	0.106	R	3214495	3214600
247.833	0.139	L	3220290	3220428
247.84	0.153	R	3220297	3220449
253.522	0.008	R	3225979	3225986
262.403	0.079	L	3234860	3234938
262.405	0.082	R	3234862	3234943
265.138	0.116	L	3237595	3237710
265.128	0.148	R	3237585	3237732
270.284	0.07	R	3242741	3242810
270.282	0.076	L	3242739	3242814
277.756	0.07	L	3250213	3250282
277.749	0.082	R	3250206	3250287
283.567	0.194	R	3256024	3256217
283.561	0.219	L	3256018	3256236
287.634	0.197	L	3260091	3260287
287.638	0.234	R	3260095	3260328
307.091	0.011	L	3279548	3279558
307.069	0.062	R	3279526	3279587
310.842	0.077	L	3283299	3283375
310.84	0.084	R	3283297	3283380
316.144	0.064	L	3288601	3288664
316.144	0.064	R	3288601	3288664
319.175	0.109	R	3291632	3291740
319.173	0.118	L	3291630	3291747
322.237	0.102	L	3294694	3294795
322.239	0.101	R	3294696	3294796
329.93	0.092	L	3302387	3302478
329.929	0.096	R	3302386	3302481
334.242	0.031	R	3306699	3306729
334.231	0.047	L	3306688	3306734
335.499	0.043	L	3307956	3307998
335.795	0.008	L	3308252	3308259
336.343	0.086	L	3308800	3308885
336.56	0.92	L	3309017	3309936
337.607	0.463	L	3310064	3310526
339.399	0.036	R	3311856	3311891
338.262	1.537	L	3310719	3312255
340.262	0.172	L	3312719	3312890
340.253	0.192	R	3312710	3312901
341.77	0.082	L	3314227	3314308
342.538	0.022	R	3314995	3315016
342.816	0.549	R	3315273	3315821
342.28	1.218	L	3314737	3315954
344.311	0.556	L	3316768	3317323
344.635	0.24	R	3317092	3317331
345.95	0.046	L	3318407	3318452
346.577	0.202	L	3319034	3319235
346.582	0.221	R	3319039	3319259
350.97	0.212	L	3323427	3323638
351.314	0.113	L	3323771	3323883
351.598	0.076	L	3324055	3324130
351.595	0.092	R	3324052	3324143
354.297	0.103	R	3326754	3326856
354.295	0.106	L	3326752	3326857
355.978	0.162	L	3328435	3328596
355.994	0.17	R	3328451	3328620
359.233	0.148	L	3331690	3331837
359.233	0.163	R	3331690	3331852
360.829	0.074	R	3333286	3333359
360.826	0.092	L	3333283	3333374
366.143	1.366	R	3338600	3339965
366.127	1.787	L	3338584	3340370
368.262	0.124	L	3340719	3340842
368.75	0.04	L	3341207	3341246
368.746	0.062	R	3341203	3341264
371.66	0.04	L	3344117	3344156
371.65	0.064	R	3344107	3344170
375.268	0.079	L	3347725	3347803
375.256	0.1	R	3347713	3347812
376.532	0.118	L	3348989	3349106
376.522	0.137	R	3348979	3349115
378.587	0.111	L	3351044	3351154
378.583	0.117	R	3351040	3351156
379.755	0.118	R	3352212	3352329
379.75	0.131	L	3352207	3352337
381.803	0.091	R	3354260	3354350
381.786	0.132	L	3354243	3354374
384.733	0.006	L	3357190	3357195
385.101	0.616	R	3357558	3358173
385.928	0.003	R	3358385	3358387
385.994	0.139	R	3358451	3358589
386.302	0.279	R	3358759	3359037
386.701	0.313	R	3359158	3359470
388.025	0.153	R	3360482	3360634
384.788	3.636	L	3357245	3360880
388.993	0.028	L	3361450	3361477
388.981	0.067	R	3361438	3361504
390.377	0.071	L	3362834	3362904
390.378	0.077	R	3362835	3362911
393.615	0.111	L	3366072	3366182
393.617	0.111	R	3366074	3366184
397.264	0.326	L	3369721	3370046
397.737	1.003	R	3370194	3371196
398.845	0.088	R	3371302	3371389
397.707	1.26	L	3370164	3371423
399.085	0.229	R	3371542	3371770
399.434	0.278	R	3371891	3372168
399.061	1.169	L	3371518	3372686
400.341	0.029	R	3372798	3372826
400.301	0.11	L	3372758	3372867
406.762	1.626	R	3379219	3380844
406.702	1.825	L	3379159	3380983
411.795	0.076	L	3384252	3384327
411.79	0.081	R	3384247	3384327
413.405	0.266	R	3385862	3386127
413.775	1.519	R	3386232	3387750
413.356	2.018	L	3385813	3387830
426.896	0.101	R	3399353	3399453
426.892	0.111	L	3399349	3399459
428.315	0.128	R	3400772	3400899
428.312	0.136	L	3400769	3400904
443.31	0.028	L	3415767	3415794
447.001	0.144	R	3419458	3419601
446.994	0.161	L	3419451	3419611
452.938	0.054	R	3425395	3425448
452.913	0.12	L	3425370	3425489
454.926	2.356	L	3427383	3429738
454.985	2.297	R	3427442	3429738
457.411	0.319	R	3429868	3430186
457.411	0.35	L	3429868	3430217
460.801	0.437	R	3433258	3433694
460.754	4.236	L	3433211	3437446
461.825	3.165	R	3434282	3437446
465.119	2.375	R	3437576	3439950
465.119	2.376	L	3437576	3439951
467.67	0.017	L	3440127	3440143
467.732	0.298	R	3440189	3440486
468.054	0.043	L	3440511	3440553
468.56	0.1	L	3441017	3441116
468.574	0.086	R	3441031	3441116
469.266	2.003	R	3441723	3443725
469.337	1.942	L	3441794	3443735
471.49	0.033	R	3443947	3443979
471.465	0.085	L	3443922	3444006
472.53	0.048	L	3444987	3445034
472.523	0.078	R	3444980	3445057
473.385	0.745	R	3445842	3446586
474.194	0.318	R	3446651	3446968
473.103	2.078	L	3445560	3447637
474.584	0.599	R	3447041	3447639
477.481	1.106	L	3449938	3451043
477.51	1.155	R	3449967	3451121
479.352	0.5	L	3451809	3452308
494.351	0.043	R	3466808	3466850
494.335	0.075	L	3466792	3466866
498.134	0.063	L	3470591	3470653
498.137	0.065	R	3470594	3470658
506.271	0.096	L	3478728	3478823
512.708	0.064	L	3485165	3485228
512.704	0.071	R	3485161	3485231
517.419	0.066	L	3489876	3489941
517.42	0.073	R	3489877	3489949
519.717	0.085	R	3492174	3492258
519.704	0.144	L	3492161	3492304
523.026	0.119	L	3495483	3495601
523.021	0.133	R	3495478	3495610
526.522	0.069	R	3498979	3499047
526.505	0.122	L	3498962	3499083
534.481	0.018	R	3506938	3506955
534.435	0.108	L	3506892	3506999
536.493	0.05	L	3508950	3508999
536.495	0.05	R	3508952	3509001
538.402	0.139	L	3510859	3510997
538.404	0.142	R	3510861	3511002
546.4	0.106	R	3518857	3518962
546.398	0.113	L	3518855	3518967
549.487	0.041	R	3521944	3521984
555.286	0.039	L	3527743	3527781
555.288	0.046	R	3527745	3527790
558.289	0.084	R	3530746	3530829
558.286	0.088	L	3530743	3530830
562.508	0.147	L	3534965	3535111
562.515	0.141	R	3534972	3535112
566.511	0.069	L	3538968	3539036
566.512	0.069	R	3538969	3539037
574.758	0.055	L	3547215	3547269
574.755	0.067	R	3547212	3547278
581.024	0.174	L	3553481	3553654
581.038	0.169	R	3553495	3553663
585.818	0.157	L	3558275	3558431
585.817	0.159	R	3558274	3558432
588.702	0.179	L	3561159	3561337
588.708	0.178	R	3561165	3561342
600.132	0.029	L	3572589	3572617
600.134	0.029	R	3572591	3572619
602.816	0.049	L	3575273	3575321
602.807	0.087	R	3575264	3575350
606.788	0.118	L	3579245	3579362
606.774	0.145	R	3579231	3579375
618.671	0.107	R	3591128	3591234
618.63	0.15	L	3591087	3591236
620.055	0.181	R	3592512	3592692
620.016	0.268	L	3592473	3592740
620.971	0.03	L	3593428	3593457
620.971	0.03	R	3593428	3593457
622.539	0.042	R	3594996	3595037
622.53	0.069	L	3594987	3595055
630.002	0.023	R	3602459	3602481
629.993	0.05	L	3602450	3602499
633.089	0.121	L	3605546	3605666
635.255	0.163	R	3607712	3607874
635.73	0.074	R	3608187	3608260
633.811	2.01	L	3606268	3608277
638.42	0.111	L	3610877	3610987
638.43	0.107	R	3610887	3610993
641.957	0.069	R	3614414	3614482
641.944	0.09	L	3614401	3614490
645.027	0.053	R	3617484	3617536
645.026	0.067	L	3617483	3617549
649.121	0.102	R	3621578	3621679
649.099	0.127	L	3621556	3621682
653.455	0.025	L	3625912	3625936
655.843	0.044	R	3628300	3628343
655.843	0.07	L	3628300	3628369
664.669	0.09	R	3637126	3637215
664.669	0.094	L	3637126	3637219
674.32	0.04	R	3646777	3646816
