onset	duration	eye	startTime	stopTime
0.41	0.048	L	603534	603580
0.412	0.056	R	603536	603590
2.774	0.09	L	605898	605986
2.774	0.092	R	605898	605988
4.782	0.092	L	607906	607996
4.782	0.092	R	607906	607996
8.398	0.094	L	611522	611614
8.398	0.104	R	611522	611624
9.754	0.1	L	612878	612976
9.758	0.102	R	612882	612982
13.68	0.056	L	616804	616858
13.676	0.088	R	616800	616886
14.316	0.12	L	617440	617558
14.316	0.124	R	617440	617562
16.058	0.096	L	619182	619276
16.062	0.094	R	619186	619278
17.164	0.074	L	620288	620360
17.15	0.122	R	620274	620394
18.028	0.124	L	621152	621274
18.026	0.144	R	621150	621292
20.858	0.114	L	623982	624094
20.856	0.13	R	623980	624108
21.978	0.132	L	625102	625232
21.976	0.154	R	625100	625252
23.444	0.088	L	626568	626654
23.442	0.1	R	626566	626664
24.882	0.116	L	628006	628120
24.884	0.126	R	628008	628132
25.844	0.156	L	628968	629122
25.842	0.182	R	628966	629146
27.212	0.106	L	630336	630440
27.204	0.134	R	630328	630460
30.3	0.12	L	633424	633542
30.296	0.144	R	633420	633562
30.616	0.144	L	633740	633882
30.612	0.162	R	633736	633896
31.388	0.1	L	634512	634610
31.388	0.108	R	634512	634618
33.346	0.138	L	636470	636606
33.344	0.154	R	636468	636620
34.896	0.09	L	638020	638108
34.89	0.12	R	638014	638132
36.038	0.11	L	639162	639270
36.036	0.128	R	639160	639286
36.758	0.14	L	639882	640020
36.762	0.148	R	639886	640032
37.85	0.096	L	640974	641068
37.846	0.12	R	640970	641088
38.794	0.098	L	641918	642014
38.792	0.112	R	641916	642026
41.944	0.108	L	645068	645174
41.946	0.118	R	645070	645186
43.07	0.072	L	646194	646264
43.07	0.082	R	646194	646274
43.922	0.092	L	647046	647136
43.922	0.106	R	647046	647150
46.714	0.064	L	649838	649900
46.712	0.076	R	649836	649910
48.388	0.108	L	651512	651618
48.386	0.122	R	651510	651630
51.16	0.102	L	654284	654384
51.156	0.12	R	654280	654398
52.302	0.096	L	655426	655520
52.304	0.106	R	655428	655532
54.836	0.118	L	657960	658076
54.836	0.128	R	657960	658086
56.114	0.102	L	659238	659338
56.118	0.106	R	659242	659346
57.994	0.116	L	661118	661232
57.992	0.134	R	661116	661248
58.962	0.112	L	662086	662196
58.962	0.12	R	662086	662204
62.956	0.1	L	666080	666178
62.954	0.124	R	666078	666200
64.268	0.126	L	667392	667516
64.266	0.142	R	667390	667530
65.096	0.07	L	668220	668288
65.09	0.098	R	668214	668310
67.106	0.12	L	670230	670348
67.102	0.14	R	670226	670364
68.514	0.086	L	671638	671722
68.51	0.104	R	671634	671736
71.744	0.124	L	674868	674990
71.744	0.144	R	674868	675010
72.972	0.088	L	676096	676182
72.97	0.102	R	676094	676194
74.306	0.092	L	677430	677520
74.302	0.12	R	677426	677544
76.36	0.092	L	679484	679574
76.36	0.102	R	679484	679584
79.202	0.102	L	682326	682426
79.198	0.128	R	682322	682448
80.584	0.078	L	683708	683784
80.582	0.094	R	683706	683798
82.494	0.08	L	685618	685696
82.496	0.084	R	685620	685702
84.656	0.076	L	687780	687854
84.648	0.106	R	687772	687876
85.55	0.106	L	688674	688778
85.548	0.124	R	688672	688794
86.64	0.084	L	689764	689846
86.638	0.108	R	689762	689868
87.942	0.112	L	691066	691176
87.936	0.136	R	691060	691194
90.95	0.088	L	694074	694160
90.956	0.082	R	694080	694160
92.536	0.06	L	695660	695718
92.528	0.082	R	695652	695732
94.184	0.07	L	697308	697376
94.18	0.092	R	697304	697394
95.032	0.124	L	698156	698278
95.024	0.162	R	698148	698308
95.856	0.152	L	698980	699130
95.856	0.17	R	698980	699148
97.396	0.05	L	700520	700568
97.394	0.058	R	700518	700574
97.996	0.094	L	701120	701212
98.0	0.11	R	701124	701232
163.796	0.12	L	766920	767038
163.79	0.148	R	766914	767060
165.344	0.158	L	768468	768624
165.346	0.158	R	768470	768626
168.942	0.116	L	772066	772180
168.946	0.12	R	772070	772188
171.428	0.098	L	774552	774648
171.426	0.132	R	774550	774680
172.712	0.116	L	775836	775950
172.712	0.138	R	775836	775972
176.148	0.1	L	779272	779370
176.152	0.11	R	779276	779384
180.052	0.158	L	783176	783332
180.056	0.17	R	783180	783348
181.184	0.028	R	784308	784334
181.186	0.034	L	784310	784342
183.334	0.166	L	786458	786622
183.338	0.174	R	786462	786634
187.148	0.122	L	790272	790392
187.15	0.128	R	790274	790400
191.064	0.098	R	794188	794284
191.058	0.108	L	794182	794288
192.144	0.138	L	795268	795404
192.15	0.14	R	795274	795412
194.596	0.146	L	797720	797864
194.604	0.158	R	797728	797884
197.532	0.052	L	800656	800706
197.538	0.054	R	800662	800714
198.664	0.162	L	801788	801948
198.664	0.182	R	801788	801968
201.682	0.102	L	804806	804906
201.676	0.136	R	804800	804934
203.318	0.136	L	806442	806576
203.326	0.132	R	806450	806580
206.426	0.102	L	809550	809650
206.434	0.094	R	809558	809650
207.786	0.106	L	810910	811014
207.784	0.12	R	810908	811026
209.644	0.062	L	812768	812828
209.644	0.08	R	812768	812846
211.124	0.096	L	814248	814342
211.122	0.114	R	814246	814358
214.056	0.096	L	817180	817274
214.05	0.134	R	817174	817306
215.076	0.088	L	818200	818286
215.072	0.114	R	818196	818308
216.892	0.124	L	820016	820138
216.89	0.16	R	820014	820172
221.646	0.172	L	824770	824940
221.646	0.196	R	824770	824964
225.304	0.096	L	828428	828522
225.308	0.104	R	828432	828534
227.808	0.084	L	830932	831014
227.808	0.088	R	830932	831018
228.814	0.096	L	831938	832032
228.814	0.114	R	831938	832050
232.828	0.08	L	835952	836030
232.83	0.08	R	835954	836032
235.08	0.094	L	838204	838296
235.08	0.114	R	838204	838316
236.706	0.094	L	839830	839922
236.702	0.13	R	839826	839954
240.2	0.138	L	843324	843460
240.206	0.14	R	843330	843468
243.424	0.11	L	846548	846656
243.422	0.122	R	846546	846666
246.91	0.06	R	850034	850092
246.91	0.07	L	850034	850102
247.976	0.084	L	851100	851182
247.982	0.078	R	851106	851182
251.698	0.118	L	854822	854938
251.7	0.134	R	854824	854956
252.89	0.02	L	856014	856032
252.878	0.06	R	856002	856060
255.216	0.104	L	858340	858442
255.22	0.104	R	858344	858446
258.052	0.074	L	861176	861248
258.052	0.078	R	861176	861252
260.264	0.142	L	863388	863528
260.268	0.146	R	863392	863536
261.728	0.452	L	864852	865302
261.734	0.478	R	864858	865334
263.294	0.11	L	866418	866526
263.296	0.126	R	866420	866544
266.692	0.324	L	869816	870138
266.7	0.336	R	869824	870158
270.458	0.278	L	873582	873858
270.462	0.288	R	873586	873872
274.022	0.098	L	877146	877242
274.022	0.116	R	877146	877260
276.152	0.07	L	879276	879344
276.144	0.102	R	879268	879368
277.486	0.096	L	880610	880704
277.486	0.102	R	880610	880710
278.914	0.088	L	882038	882124
278.908	0.122	R	882032	882152
280.73	0.042	L	883854	883894
280.73	0.05	R	883854	883902
282.234	0.102	L	885358	885458
282.242	0.098	R	885366	885462
283.212	0.148	L	886336	886482
283.216	0.16	R	886340	886498
287.838	0.102	L	890962	891062
287.846	0.108	R	890970	891076
289.498	0.306	L	892622	892926
289.506	0.314	R	892630	892942
290.47	0.136	L	893594	893728
290.476	0.156	R	893600	893754
293.178	0.126	L	896302	896426
293.188	0.126	R	896312	896436
294.364	0.124	L	897488	897610
294.368	0.136	R	897492	897626
296.822	0.176	L	899946	900120
296.828	0.204	R	899952	900154
297.766	0.224	L	900890	901112
297.768	0.224	R	900892	901114
299.508	0.138	L	902632	902768
299.514	0.142	R	902638	902778
300.934	0.164	L	904058	904220
300.942	0.172	R	904066	904236
303.5	0.156	L	906624	906778
303.5	0.19	R	906624	906812
305.524	0.242	L	908648	908888
305.526	0.264	R	908650	908912
309.692	0.156	L	912816	912970
309.698	0.168	R	912822	912988
312.578	0.31	L	915702	916010
312.594	0.322	R	915718	916038
315.676	0.656	L	918800	919454
315.678	0.658	R	918802	919458
317.098	0.176	L	920222	920396
317.104	0.184	R	920228	920410
318.66	0.164	L	921784	921946
318.664	0.188	R	921788	921974
320.21	0.156	L	923334	923488
320.218	0.158	R	923342	923498
321.276	0.188	L	924400	924586
321.286	0.184	R	924410	924592
323.636	0.212	L	926760	926970
323.65	0.222	R	926774	926994
325.77	0.072	R	928894	928964
325.762	0.092	L	928886	928976
327.606	0.122	L	930730	930850
327.618	0.116	R	930742	930856
329.816	0.082	L	932940	933020
329.822	0.08	R	932946	933024
330.648	0.124	L	933772	933894
330.65	0.136	R	933774	933908
332.722	0.13	L	935846	935974
332.728	0.126	R	935852	935976
334.63	0.144	L	937754	937896
334.638	0.14	R	937762	937900
338.094	0.248	R	941218	941464
338.08	0.266	L	941204	941468
339.456	0.17	L	942580	942748
339.466	0.174	R	942590	942762
340.484	0.024	R	943608	943630
