onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.374	0.154	L	603498	603650	401.2	581.1	971.7	506.6	10.27	1201
0.372	0.16	R	603496	603654	382.6	553.7	971.1	514.2	10.52	1324
1.832	0.038	L	604956	604992	939.7	494.7	1038.0	784.1	5.58	239
1.832	0.04	R	604956	604994	945.7	494.4	1040.0	817.4	6.14	256
2.11	0.056	R	605234	605288	1052.5	826.1	1807.1	1086.7	13.95	391
2.112	0.056	L	605236	605290	1047.1	806.6	1823.7	1146.5	14.84	418
2.338	0.026	R	605462	605486	1783.3	1082.2	1907.4	1060.8	2.10	128
2.34	0.026	L	605464	605488	1819.1	1127.0	1951.6	1108.0	2.23	129
2.744	0.168	L	605868	606034	1949.9	1171.5	871.1	426.5	22.75	1975
2.746	0.174	R	605870	606042	1918.0	1104.3	911.6	468.2	20.62	630
3.098	0.02	R	606222	606240	903.3	468.9	958.5	455.6	1.02	79
3.098	0.022	L	606222	606242	887.0	462.0	950.1	441.0	1.20	87
3.74	0.058	L	606864	606920	930.1	476.3	395.4	95.7	11.50	304
3.74	0.06	R	606864	606922	937.0	466.7	406.9	80.8	11.48	285
4.05	0.02	L	607174	607192	397.8	74.4	354.6	30.3	1.04	72
4.05	0.02	R	607174	607192	376.8	60.5	340.8	10.3	1.04	72
4.33	0.07	R	607454	607522	337.3	10.1	1319.4	957.2	23.63	534
4.33	0.07	L	607454	607522	362.5	22.2	1356.6	1004.8	24.21	517
4.756	0.176	L	607880	608054	1370.9	1025.5	899.0	424.8	13.61	719
4.756	0.18	R	607880	608058	1318.8	977.6	937.1	449.0	11.62	660
5.032	0.018	L	608156	608172	905.9	461.8	937.3	423.0	0.89	72
5.032	0.018	R	608156	608172	931.1	456.6	962.4	424.1	0.80	66
6.68	0.018	L	609804	609820	933.6	444.3	920.3	391.5	0.97	75
6.678	0.02	R	609802	609820	945.8	450.7	938.7	385.5	1.16	86
6.994	0.048	R	610118	610164	936.4	381.3	1538.4	422.6	10.49	363
6.994	0.05	L	610118	610166	928.8	386.6	1543.7	437.6	10.73	365
8.366	0.2	L	611490	611688	846.9	466.2	934.2	408.5	1.86	1239
8.366	0.208	R	611490	611696	866.1	464.5	983.8	458.0	2.10	1027
9.724	0.2	L	612848	613046	913.0	442.3	923.3	407.9	0.64	1153
9.726	0.206	R	612850	613054	946.4	463.1	959.5	444.3	0.41	974
11.058	0.048	R	614182	614228	957.6	436.1	1550.7	469.9	10.37	345
11.06	0.048	L	614184	614230	911.8	431.2	1518.1	467.3	10.59	348
11.342	0.018	R	614466	614482	1562.2	476.0	1553.2	433.9	0.75	64
11.446	0.08	L	614570	614648	1529.5	440.3	12.8	370.4	25.58	534
11.448	0.08	R	614572	614650	1543.3	438.5	66.4	343.5	24.94	471
13.208	0.056	R	616332	616386	59.2	330.0	948.2	436.9	15.39	398
13.208	0.058	L	616332	616388	38.8	382.9	902.3	462.0	14.90	369
13.648	0.162	L	616772	616932	912.9	451.3	909.4	456.3	0.11	1297
13.644	0.186	R	616768	616952	961.2	443.9	950.0	452.8	0.25	1496
14.286	0.22	L	617410	617628	901.5	443.3	923.7	427.5	0.48	1079
14.284	0.234	R	617408	617640	956.9	433.1	988.2	450.6	0.64	1207
16.026	0.204	L	619150	619352	908.9	451.9	923.9	445.0	0.29	1325
16.028	0.21	R	619152	619360	949.8	436.5	956.1	419.7	0.32	1197
17.128	0.174	L	620252	620424	902.3	442.1	916.6	459.9	0.41	1175
17.116	0.224	R	620240	620462	958.2	449.9	972.6	466.6	0.39	1212
17.998	0.226	L	621122	621346	907.5	454.2	924.0	435.0	0.45	1161
17.994	0.244	R	621118	621360	955.2	462.2	981.2	471.4	0.49	1232
19.33	0.022	L	622454	622474	897.9	458.6	850.8	412.0	1.18	84
19.332	0.02	R	622456	622474	943.7	442.4	900.8	388.8	1.22	92
19.464	0.032	L	622588	622618	838.4	408.4	559.2	469.7	5.08	268
19.464	0.034	R	622588	622620	887.4	387.2	604.5	436.9	5.10	245
19.626	0.02	L	622750	622768	556.4	482.8	606.8	454.2	1.03	80
19.626	0.02	R	622750	622768	594.1	438.3	650.4	420.1	1.05	84
20.826	0.22	L	623950	624168	796.3	443.3	849.4	429.1	0.98	1300
20.822	0.238	R	623946	624182	819.1	427.2	885.0	470.0	1.40	1302
21.328	0.016	L	624452	624466	859.9	462.5	898.3	448.0	0.73	62
21.326	0.02	R	624450	624468	882.7	461.4	934.4	447.9	0.96	73
21.944	0.238	L	625068	625304	910.8	499.2	917.2	430.7	1.24	1155
21.942	0.258	R	625066	625322	945.7	494.4	959.4	479.7	0.36	1086
23.216	0.036	L	626340	626374	908.9	484.1	629.8	529.2	5.04	216
23.216	0.038	R	626340	626376	934.5	457.8	646.2	480.5	5.16	204
23.404	0.198	L	626528	626724	596.7	537.7	951.3	450.2	6.52	1250
23.402	0.212	R	626526	626736	605.0	492.0	994.6	441.7	7.00	1296
24.382	0.034	L	627506	627538	932.9	474.9	691.1	494.7	4.35	198
24.384	0.034	R	627508	627540	948.6	461.9	711.0	463.8	4.26	188
24.656	0.032	R	627780	627810	699.9	443.4	935.3	439.4	4.21	197
24.658	0.032	L	627782	627812	700.6	480.5	917.7	455.8	3.91	177
24.848	0.224	L	627972	628194	923.0	464.4	910.2	402.1	1.14	1305
24.852	0.232	R	627976	628206	950.1	457.3	943.0	446.1	0.24	1394
25.814	0.264	L	628938	629200	926.9	498.1	932.6	445.1	0.96	1069
25.81	0.286	R	628934	629218	947.1	488.0	971.2	475.2	0.49	1027
27.176	0.218	L	630300	630516	919.6	467.4	939.8	471.0	0.37	1194
27.172	0.242	R	630296	630536	937.5	476.2	969.5	487.2	0.61	825
27.8	0.048	R	630924	630970	961.9	488.7	1466.1	492.7	8.96	284
27.804	0.046	L	630928	630972	942.2	490.1	1431.1	519.8	8.71	289
27.996	0.062	L	631120	631180	1451.3	520.9	349.7	595.0	19.39	504
27.998	0.062	R	631122	631182	1463.1	505.1	385.3	564.8	18.97	437
28.364	0.022	R	631488	631508	326.4	579.0	260.7	526.0	1.49	107
28.364	0.024	L	631488	631510	309.5	631.3	249.1	576.6	1.44	108
29.108	0.048	R	632232	632278	277.6	521.4	830.4	451.8	9.86	303
29.108	0.05	L	632232	632280	258.1	574.0	803.1	466.5	9.84	279
29.618	0.022	R	632742	632762	851.4	462.3	930.2	455.6	1.42	98
29.62	0.022	L	632744	632764	837.7	476.1	909.6	467.2	1.31	92
30.266	0.22	L	633390	633608	928.7	497.2	961.3	443.9	1.13	1009
30.264	0.24	R	633388	633626	955.6	493.5	986.5	500.3	0.57	1279
30.556	0.27	L	633680	633948	964.1	431.2	935.9	396.2	0.81	602
30.548	0.292	R	633672	633962	986.4	488.0	956.2	439.0	1.03	711
31.354	0.202	L	634478	634678	911.8	485.7	937.5	480.5	0.47	1191
31.354	0.208	R	634478	634684	947.2	498.0	966.7	524.8	0.60	1110
32.002	0.05	L	635126	635174	925.1	494.9	391.9	505.0	9.49	324
32.004	0.05	R	635128	635176	940.3	506.9	397.8	492.0	9.66	302
32.172	0.02	L	635296	635314	362.8	510.4	300.4	500.5	1.10	90
32.174	0.02	R	635298	635316	376.8	490.4	315.5	484.9	1.07	85
33.166	0.05	R	636290	636338	329.1	475.1	893.7	445.8	10.00	307
33.168	0.05	L	636292	636340	336.9	501.5	883.9	460.7	9.71	275
33.314	0.25	L	636438	636686	896.8	460.3	905.1	450.3	0.23	1318
33.312	0.26	R	636436	636694	917.3	457.7	904.7	490.4	0.63	1265
33.988	0.016	L	637112	637126	903.5	485.1	943.3	475.5	0.73	62
33.988	0.02	R	637112	637130	903.4	479.4	957.1	471.7	0.97	71
34.866	0.192	L	637990	638180	944.2	489.6	973.1	454.5	0.82	1058
34.858	0.222	R	637982	638202	948.1	477.0	985.6	501.7	0.81	1132
36.006	0.214	L	639130	639342	944.8	487.4	938.0	425.1	1.13	1165
36.004	0.23	R	639128	639356	950.4	480.0	961.6	480.8	0.20	1134
36.73	0.238	L	639854	640090	946.1	485.9	965.0	479.0	0.36	1111
36.73	0.248	R	639854	640100	944.3	481.5	961.2	517.1	0.71	1261
37.816	0.196	L	640940	641134	935.1	518.4	970.6	493.0	0.79	1053
37.812	0.222	R	640936	641156	950.5	505.2	983.1	519.0	0.64	1393
38.764	0.194	L	641888	642080	946.8	502.4	962.9	481.1	0.48	1103
38.76	0.214	R	641884	642096	942.7	484.4	954.2	507.2	0.46	1393
40.52	0.046	L	643644	643688	948.6	495.9	415.4	557.9	9.60	343
40.522	0.046	R	643646	643690	932.0	487.4	406.7	535.6	9.43	328
41.128	0.042	L	644252	644292	377.4	580.7	1067.1	506.1	12.36	407
41.126	0.044	R	644250	644292	370.6	542.0	1126.8	505.8	13.47	447
41.336	0.028	L	644460	644486	1189.2	483.1	1004.5	452.6	3.36	197
41.338	0.028	R	644462	644488	1192.3	486.2	1027.5	463.0	2.99	175
41.69	0.026	L	644814	644838	993.4	456.7	859.6	455.4	2.41	143
41.692	0.026	R	644816	644840	993.7	462.1	872.8	454.4	2.18	130
41.912	0.204	L	645036	645238	854.8	491.0	907.2	460.9	1.09	1254
41.914	0.214	R	645038	645250	873.4	496.0	905.0	498.1	0.57	1331
43.038	0.166	L	646162	646326	950.0	492.6	973.3	457.6	0.76	1266
43.038	0.176	R	646162	646336	955.2	508.4	974.9	513.6	0.37	1248
43.89	0.188	L	647014	647200	959.3	501.9	966.9	438.6	1.15	1005
43.888	0.202	R	647012	647212	959.5	501.4	971.7	494.9	0.25	1339
44.596	0.048	L	647720	647766	959.9	444.1	446.7	479.6	9.19	308
44.6	0.046	R	647724	647768	943.5	455.1	435.9	458.9	9.07	291
44.978	0.068	R	648102	648168	403.7	463.0	1467.3	257.8	19.03	425
44.98	0.07	L	648104	648172	426.7	498.3	1446.4	282.7	18.31	368
45.722	0.048	L	648846	648892	1456.3	282.9	929.4	441.5	9.75	328
45.722	0.05	R	648846	648894	1469.5	269.4	943.5	442.6	9.81	300
45.954	0.022	L	649078	649098	896.0	475.3	808.8	479.1	1.58	118
45.954	0.022	R	649078	649098	898.5	457.9	813.1	458.9	1.54	107
46.522	0.024	L	649646	649668	831.9	498.7	913.9	477.5	1.53	94
46.522	0.024	R	649646	649668	829.7	480.9	915.2	461.6	1.59	100
