participant_id	trial_type	accuracy
sub-24397	BY	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	BY	1
sub-24397	AY	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AY	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	AY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AY	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AX	1
sub-24397	AY	0
sub-24397	AX	1
sub-24397	AY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AY	1
sub-24397	n/a	n/a
sub-24397	AY	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	BX	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AY	1
sub-24397	AX	1
sub-24397	AY	1
sub-24397	AY	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AX	1
sub-24397	BX	1
sub-24397	BX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	AX	0
sub-24397	BY	1
sub-24397	AY	0
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AX	0
sub-24397	BX	0
sub-24397	n/a	n/a
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AY	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	BY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BY	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BX	0
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AY	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AX	0
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	BX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	AX	1
sub-24397	n/a	n/a
