participant_id	condition	accuracy	reaction_time
sub-24397	congruent	1	0.770
sub-24397	congruent	1	0.392
sub-24397	incongruent	1	1.294
sub-24397	congruent	1	0.548
sub-24397	incongruent	1	0.872
sub-24397	incongruent	0	0.585
sub-24397	congruent	1	0.509
sub-24397	incongruent	0	0.409
sub-24397	congruent	1	0.658
sub-24397	incongruent	1	0.682
sub-24397	incongruent	0	0.396
sub-24397	incongruent	0	0.366
sub-24397	incongruent	1	1.878
sub-24397	congruent	1	0.595
sub-24397	incongruent	1	0.755
sub-24397	incongruent	0	0.433
sub-24397	congruent	1	0.675
sub-24397	incongruent	1	0.691
sub-24397	congruent	1	1.574
sub-24397	congruent	1	0.666
sub-24397	congruent	1	1.495
sub-24397	incongruent	1	0.985
sub-24397	congruent	1	0.420
sub-24397	congruent	1	0.555
sub-24397	incongruent	1	0.659
sub-24397	incongruent	1	0.268
sub-24397	congruent	1	0.515
sub-24397	congruent	1	0.400
sub-24397	incongruent	1	0.706
sub-24397	congruent	1	0.455
sub-24397	congruent	1	0.590
sub-24397	congruent	1	0.567
sub-24397	congruent	1	0.309
sub-24397	congruent	1	0.533
sub-24397	incongruent	1	0.243
sub-24397	incongruent	1	0.593
sub-24397	congruent	1	0.408
sub-24397	congruent	1	0.509
sub-24397	congruent	1	0.350
sub-24397	incongruent	1	0.667
sub-24397	incongruent	0	0.377
sub-24397	incongruent	1	0.481
sub-24397	congruent	1	0.352
sub-24397	incongruent	1	0.776
sub-24397	incongruent	1	0.588
sub-24397	congruent	1	0.307
sub-24397	incongruent	1	0.478
sub-24397	congruent	1	0.336
sub-24397	incongruent	0	0.355
sub-24397	incongruent	1	0.633
sub-24397	congruent	1	0.392
sub-24397	congruent	1	0.295
sub-24397	incongruent	0	0.390
sub-24397	congruent	1	0.633
sub-24397	incongruent	1	0.634
sub-24397	incongruent	1	0.350
sub-24397	congruent	1	0.332
sub-24397	congruent	1	0.321
sub-24397	incongruent	0	0.470
sub-24397	incongruent	1	0.541
sub-24397	congruent	1	0.725
sub-24397	incongruent	1	0.296
sub-24397	congruent	1	0.447
sub-24397	congruent	1	0.346
sub-24397	congruent	1	0.495
sub-24397	congruent	1	0.480
sub-24397	congruent	1	0.456
sub-24397	congruent	1	0.449
sub-24397	incongruent	1	0.661
sub-24397	incongruent	1	0.775
sub-24397	incongruent	1	0.635
sub-24397	congruent	1	0.405
sub-24397	incongruent	1	0.605
sub-24397	incongruent	1	0.717
sub-24397	incongruent	0	0.469
sub-24397	congruent	1	0.321
sub-24397	congruent	1	0.477
sub-24397	congruent	1	0.582
sub-24397	congruent	1	0.462
sub-24397	congruent	1	0.523
sub-24397	incongruent	1	0.776
sub-24397	congruent	1	0.480
sub-24397	congruent	1	0.501
sub-24397	congruent	1	0.482
sub-24397	incongruent	1	0.878
sub-24397	incongruent	0	0.531
sub-24397	congruent	1	0.450
sub-24397	congruent	1	0.498
sub-24397	congruent	1	0.498
sub-24397	incongruent	1	1.098
sub-24397	congruent	1	0.521
sub-24397	congruent	1	0.687
sub-24397	incongruent	1	0.785
sub-24397	congruent	1	0.694
sub-24397	incongruent	1	0.651
sub-24397	incongruent	1	0.670
sub-24397	incongruent	1	0.790
sub-24397	congruent	1	0.578
sub-24397	congruent	1	0.566
sub-24397	incongruent	1	0.658
sub-24397	incongruent	1	0.811
sub-24397	incongruent	1	0.711
sub-24397	incongruent	0	0.336
sub-24397	incongruent	1	0.824
sub-24397	incongruent	1	0.744
sub-24397	incongruent	1	0.629
sub-24397	congruent	1	0.491
sub-24397	congruent	1	0.527
sub-24397	incongruent	1	0.854
sub-24397	incongruent	1	0.846
sub-24397	congruent	1	0.429
sub-24397	congruent	1	0.560
sub-24397	incongruent	0	0.324
sub-24397	incongruent	1	0.725
sub-24397	congruent	1	0.422
sub-24397	incongruent	1	0.726
sub-24397	congruent	1	0.787
sub-24397	incongruent	1	0.766
sub-24397	incongruent	1	0.708
sub-24397	incongruent	1	0.743
sub-24397	incongruent	1	1.000
sub-24397	incongruent	0	0.345
sub-24397	congruent	1	0.490
sub-24397	congruent	1	0.550
sub-24397	congruent	1	0.451
sub-24397	congruent	1	0.454
sub-24397	congruent	1	0.445
sub-24397	congruent	1	0.587
sub-24397	congruent	1	0.502
sub-24397	incongruent	1	0.597
sub-24397	incongruent	1	0.845
sub-24397	incongruent	1	0.635
sub-24397	incongruent	1	0.705
sub-24397	incongruent	1	0.699
