onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
0.153	2.0	1348573	1350610	ShowFixation	ANTI	1	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
2.19	0.2	1350610	1350846	BlankScreen	ANTI	1	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
2.426	1.0	1350846	1351886	ELCue	ANTI	1	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
3.884	2.0	1352304	1354931	ShowFixation	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
6.511	0.2	1354931	1355167	BlankScreen	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
6.747	1.0	1355167	1356207	ELCue	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
8.208	2.0	1356628	1359252	ShowFixation	ANTI	3	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
10.832	0.2	1359252	1359488	BlankScreen	ANTI	3	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
11.068	1.0	1359488	1360528	ELCue	ANTI	3	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
12.524	2.0	1360944	1363573	ShowFixation	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
15.153	0.2	1363573	1363809	BlankScreen	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
15.389	1.0	1363809	1364849	ELCue	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
16.85	6.0	1365270	1371894	ShowFixation	VGS	5	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
23.474	0.2	1371894	1372133	BlankScreen	VGS	5	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
23.713	1.0	1372133	1373174	ELCue	VGS	5	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
25.172	6.0	1373592	1380219	ShowFixation	ANTI	6	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
31.799	0.2	1380219	1380459	BlankScreen	ANTI	6	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
32.039	1.0	1380459	1381499	ELCue	ANTI	6	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
33.497	2.0	1381917	1384527	ShowFixation	VGS	7	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
36.107	0.2	1384527	1384747	BlankScreen	VGS	7	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
36.327	1.0	1384747	1385770	ELCue	VGS	7	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
37.772	6.0	1386192	1392816	ShowFixation	VGS	8	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
44.396	0.2	1392816	1393055	BlankScreen	VGS	8	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
