onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.012	0.022	L	1693520	1693541	1036.9	565.3	1075
0.012	0.023	R	1693520	1693542	1025.0	572.2	973
0.069	0.176	R	1693577	1693752	654.6	327.0	1019
0.069	0.177	L	1693577	1693753	669.0	300.3	1102
0.283	0.176	L	1693791	1693966	949.2	317.9	1095
0.284	0.175	R	1693792	1693966	940.4	319.5	1026
0.485	0.186	R	1693993	1694178	909.0	497.2	1029
0.487	0.948	L	1693995	1694942	919.0	481.5	1051
0.694	0.741	R	1694202	1694942	930.2	493.9	955
1.46	0.303	R	1694968	1695270	947.7	484.5	923
1.451	0.313	L	1694959	1695271	953.8	473.7	1003
1.816	0.12	L	1695324	1695443	1523.0	442.3	988
1.815	0.122	R	1695323	1695444	1517.7	440.4	874
1.979	0.583	L	1695487	1696069	969.2	474.6	1029
1.979	0.583	R	1695487	1696069	922.1	482.6	932
2.585	0.276	R	1696093	1696368	907.0	470.2	936
2.585	0.277	L	1696093	1696369	940.5	462.4	1019
2.884	1.544	L	1696392	1697935	949.7	459.1	992
4.452	0.948	L	1697960	1698907	957.4	478.3	951
2.886	2.514	R	1696394	1698907	909.9	479.4	902
5.46	0.182	L	1698968	1699149	1705.2	457.3	993
5.45	0.194	R	1698958	1699151	1706.7	479.4	870
5.7	0.209	R	1699208	1699416	952.3	488.5	940
5.933	0.596	R	1699441	1700036	907.0	502.8	852
5.699	0.831	L	1699207	1700037	959.1	474.2	968
6.548	0.056	L	1700056	1700111	1009.8	464.4	959
6.549	0.057	R	1700057	1700113	961.9	479.2	877
6.638	0.945	L	1700146	1701090	642.1	482.3	990
6.641	0.942	R	1700149	1701090	584.4	482.3	900
7.728	0.485	R	1701236	1701720	882.4	490.2	759
7.728	0.486	L	1701236	1701721	930.8	495.1	842
8.235	0.406	L	1701743	1702148	1045.8	497.1	882
8.235	0.406	R	1701743	1702148	996.8	478.1	797
8.663	0.387	R	1702171	1702557	881.3	482.6	821
8.662	1.406	L	1702170	1703575	954.8	498.2	875
9.073	0.996	R	1702581	1703576	897.5	482.3	800
10.131	0.234	L	1703639	1703872	172.8	595.9	899
10.131	0.235	R	1703639	1703873	85.2	582.2	881
10.401	0.365	R	1703909	1704273	-122.1	519.7	881
10.4	0.367	L	1703908	1704274	-26.8	546.9	885
10.823	0.221	L	1704331	1704551	896.4	551.5	870
10.821	0.225	R	1704329	1704553	840.2	533.2	792
