participant_id	condition	accuracy	reaction_time
sub-23468	congruent	1	0.926
sub-23468	congruent	1	0.557
sub-23468	congruent	1	0.507
sub-23468	congruent	1	0.509
sub-23468	congruent	1	0.509
sub-23468	congruent	1	0.509
sub-23468	incongruent	1	0.583
sub-23468	congruent	1	0.469
sub-23468	incongruent	1	0.542
sub-23468	incongruent	1	0.474
sub-23468	congruent	1	0.480
sub-23468	incongruent	1	0.521
sub-23468	incongruent	1	0.530
sub-23468	incongruent	1	0.465
sub-23468	incongruent	1	0.542
sub-23468	congruent	1	0.498
sub-23468	congruent	1	0.465
sub-23468	incongruent	1	0.684
sub-23468	incongruent	1	0.500
sub-23468	incongruent	1	0.522
sub-23468	incongruent	1	0.494
sub-23468	congruent	1	0.420
sub-23468	incongruent	1	0.745
sub-23468	congruent	1	0.531
sub-23468	congruent	1	0.379
sub-23468	congruent	1	0.391
sub-23468	incongruent	1	0.467
sub-23468	congruent	1	0.382
sub-23468	incongruent	1	0.433
sub-23468	congruent	1	0.387
sub-23468	congruent	1	0.406
sub-23468	congruent	1	0.488
sub-23468	incongruent	0	0.276
sub-23468	congruent	1	0.464
sub-23468	incongruent	1	0.449
sub-23468	incongruent	1	0.605
sub-23468	congruent	1	0.467
sub-23468	incongruent	1	0.611
sub-23468	incongruent	1	0.638
sub-23468	incongruent	1	0.501
sub-23468	incongruent	1	0.533
sub-23468	congruent	1	0.436
sub-23468	congruent	1	0.453
sub-23468	congruent	1	0.455
sub-23468	incongruent	1	0.454
sub-23468	incongruent	1	0.528
sub-23468	congruent	1	0.512
sub-23468	incongruent	1	0.595
sub-23468	congruent	1	0.439
sub-23468	incongruent	0	0.417
sub-23468	incongruent	1	0.530
sub-23468	congruent	1	0.536
sub-23468	congruent	1	0.463
sub-23468	congruent	1	0.424
sub-23468	congruent	1	0.458
sub-23468	incongruent	1	0.478
sub-23468	congruent	1	0.416
sub-23468	incongruent	1	0.581
sub-23468	incongruent	1	0.545
sub-23468	incongruent	1	0.677
sub-23468	congruent	1	0.534
sub-23468	congruent	1	1.936
sub-23468	congruent	1	0.429
sub-23468	congruent	1	0.441
sub-23468	incongruent	0	0.407
sub-23468	incongruent	1	0.539
sub-23468	incongruent	1	0.530
sub-23468	incongruent	1	0.549
sub-23468	incongruent	1	0.526
sub-23468	incongruent	1	0.471
sub-23468	incongruent	1	0.520
sub-23468	incongruent	1	0.492
sub-23468	incongruent	1	0.462
sub-23468	congruent	1	0.426
sub-23468	incongruent	1	0.551
sub-23468	incongruent	1	0.416
sub-23468	congruent	1	1.006
sub-23468	congruent	1	0.546
sub-23468	congruent	1	0.482
sub-23468	congruent	1	0.411
sub-23468	congruent	1	0.305
sub-23468	congruent	1	0.476
sub-23468	incongruent	0	0.417
sub-23468	congruent	1	0.514
sub-23468	incongruent	1	0.678
sub-23468	incongruent	1	0.879
sub-23468	incongruent	1	0.969
sub-23468	congruent	1	0.521
sub-23468	congruent	1	0.471
sub-23468	congruent	1	0.494
sub-23468	incongruent	1	0.480
sub-23468	incongruent	1	0.804
sub-23468	incongruent	1	0.480
sub-23468	incongruent	1	0.577
sub-23468	congruent	1	0.809
sub-23468	congruent	1	0.461
sub-23468	congruent	1	0.505
sub-23468	congruent	1	0.563
sub-23468	congruent	1	0.447
sub-23468	incongruent	1	0.437
sub-23468	congruent	1	0.443
sub-23468	incongruent	1	0.520
sub-23468	incongruent	1	0.441
sub-23468	congruent	1	0.399
sub-23468	incongruent	1	0.610
sub-23468	incongruent	1	0.863
sub-23468	incongruent	1	0.538
sub-23468	congruent	1	0.423
sub-23468	incongruent	1	0.493
sub-23468	congruent	1	0.492
sub-23468	congruent	1	0.407
sub-23468	congruent	1	0.379
sub-23468	congruent	1	0.495
sub-23468	incongruent	0	0.441
sub-23468	congruent	1	0.441
sub-23468	incongruent	1	0.773
sub-23468	congruent	1	0.397
sub-23468	incongruent	1	0.154
sub-23468	congruent	1	0.253
sub-23468	incongruent	0	0.336
sub-23468	congruent	1	0.636
sub-23468	incongruent	1	0.642
sub-23468	congruent	1	0.767
sub-23468	incongruent	1	0.786
sub-23468	congruent	1	0.950
sub-23468	incongruent	0	0.391
sub-23468	incongruent	1	0.484
sub-23468	incongruent	1	0.515
sub-23468	incongruent	1	0.591
sub-23468	congruent	1	0.597
sub-23468	congruent	1	0.571
sub-23468	congruent	1	0.562
sub-23468	incongruent	1	0.540
sub-23468	incongruent	0	0.371
sub-23468	incongruent	1	0.550
sub-23468	incongruent	1	0.567
sub-23468	incongruent	1	0.659
sub-23468	incongruent	1	0.548
sub-23468	congruent	1	0.509
sub-23468	incongruent	1	1.049
sub-23468	incongruent	1	0.518
sub-23468	congruent	1	1.131
sub-23468	congruent	1	0.545
sub-23468	congruent	1	1.065
sub-23468	congruent	1	0.552
sub-23468	congruent	1	0.368
sub-23468	incongruent	1	0.550
sub-23468	congruent	1	0.553
sub-23468	congruent	1	0.524
sub-23468	congruent	1	0.460
sub-23468	incongruent	1	0.538
sub-23468	incongruent	1	0.640
sub-23468	congruent	1	0.560
sub-23468	congruent	1	0.843
sub-23468	incongruent	1	0.549
sub-23468	congruent	1	0.485
sub-23468	incongruent	1	0.608
sub-23468	incongruent	1	0.541
sub-23468	incongruent	1	0.484
sub-23468	incongruent	1	0.575
sub-23468	congruent	1	0.414
sub-23468	congruent	1	0.481
sub-23468	congruent	1	0.480
sub-23468	incongruent	1	0.511
sub-23468	congruent	1	0.466
sub-23468	incongruent	0	0.516
sub-23468	incongruent	1	0.532
sub-23468	congruent	1	0.569
sub-23468	congruent	1	0.474
sub-23468	congruent	1	0.513
sub-23468	congruent	1	0.457
sub-23468	incongruent	0	0.311
sub-23468	congruent	1	0.469
sub-23468	incongruent	1	0.591
sub-23468	incongruent	1	0.561
sub-23468	congruent	1	0.439
sub-23468	congruent	1	0.398
sub-23468	incongruent	1	0.605
sub-23468	congruent	1	1.031
sub-23468	incongruent	1	0.466
sub-23468	congruent	1	0.911
sub-23468	congruent	1	0.488
sub-23468	incongruent	1	0.621
sub-23468	congruent	1	0.547
sub-23468	incongruent	1	0.492
sub-23468	congruent	1	0.503
sub-23468	incongruent	1	0.716
sub-23468	congruent	1	0.500
sub-23468	incongruent	1	0.514
sub-23468	congruent	1	0.470
sub-23468	congruent	1	0.496
sub-23468	incongruent	1	0.631
sub-23468	congruent	1	0.435
sub-23468	congruent	1	0.428
sub-23468	congruent	1	0.580
sub-23468	incongruent	1	0.760
sub-23468	incongruent	0	0.445
sub-23468	congruent	1	0.414
sub-23468	incongruent	1	0.544
sub-23468	congruent	1	0.509
sub-23468	incongruent	0	0.397
sub-23468	congruent	1	0.503
sub-23468	incongruent	1	0.662
sub-23468	incongruent	1	0.623
sub-23468	incongruent	1	0.597
sub-23468	incongruent	1	0.650
sub-23468	incongruent	1	0.581
sub-23468	congruent	1	0.556
sub-23468	incongruent	0	0.450
sub-23468	incongruent	1	0.655
sub-23468	incongruent	1	0.465
sub-23468	congruent	0	0.409
sub-23468	incongruent	1	0.512
sub-23468	incongruent	1	0.505
sub-23468	incongruent	0	0.406
sub-23468	incongruent	1	0.623
sub-23468	incongruent	1	0.558
sub-23468	congruent	1	0.547
sub-23468	congruent	1	0.508
sub-23468	incongruent	1	0.522
sub-23468	incongruent	1	0.503
sub-23468	congruent	1	0.727
sub-23468	congruent	1	0.610
sub-23468	congruent	1	0.563
sub-23468	incongruent	1	0.492
sub-23468	incongruent	1	0.540
sub-23468	congruent	1	0.465
sub-23468	congruent	1	0.538
sub-23468	congruent	1	0.428
sub-23468	congruent	1	0.462
sub-23468	congruent	1	0.446
sub-23468	congruent	1	0.489
sub-23468	incongruent	1	0.507
sub-23468	incongruent	1	0.523
sub-23468	congruent	1	0.463
sub-23468	congruent	1	0.418
sub-23468	congruent	1	0.565
sub-23468	incongruent	1	0.592
sub-23468	incongruent	1	0.573
sub-23468	congruent	1	0.573
