participant_id	trial_type	accuracy
sub-23468	BY	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BY	1
sub-23468	BY	1
sub-23468	AY	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AY	1
sub-23468	BY	1
sub-23468	AX	1
sub-23468	AY	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BY	1
sub-23468	AX	0
sub-23468	AX	0
sub-23468	AX	1
sub-23468	BX	0
sub-23468	AX	1
sub-23468	BY	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	0
sub-23468	AX	0
sub-23468	AX	1
sub-23468	AY	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BY	1
sub-23468	AX	0
sub-23468	AX	1
sub-23468	BY	0
sub-23468	AX	1
sub-23468	BX	0
sub-23468	AX	1
sub-23468	AY	1
sub-23468	AX	1
sub-23468	AY	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AY	1
sub-23468	n/a	n/a
sub-23468	AY	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	0
sub-23468	AX	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BX	1
sub-23468	BY	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AY	1
sub-23468	AX	1
sub-23468	AY	1
sub-23468	AY	1
sub-23468	AX	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BY	0
sub-23468	AX	1
sub-23468	BX	1
sub-23468	AX	0
sub-23468	BX	1
sub-23468	AX	1
sub-23468	BX	1
sub-23468	BX	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BY	1
sub-23468	AX	1
sub-23468	BY	1
sub-23468	AY	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BX	1
sub-23468	AX	0
sub-23468	BX	0
sub-23468	n/a	n/a
sub-23468	AX	0
sub-23468	BX	0
sub-23468	AY	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	0
sub-23468	AX	1
sub-23468	BY	0
sub-23468	AX	1
sub-23468	AX	0
sub-23468	BY	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	0
sub-23468	BX	0
sub-23468	AX	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AY	0
sub-23468	AX	1
sub-23468	AX	0
sub-23468	AX	0
sub-23468	BY	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BX	0
sub-23468	AX	1
sub-23468	BX	0
sub-23468	AY	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	BX	0
sub-23468	AX	1
sub-23468	AX	1
sub-23468	AX	1
sub-23468	n/a	n/a
