onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
0.143	6.0	619519	625560	ShowFixation	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
6.184	0.2	625560	625799	BlankScreen	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
6.423	1.0	625799	626840	ELCue	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
7.867	6.0	627243	633885	ShowFixation	VGS	2	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
14.509	0.2	633885	634124	BlankScreen	VGS	2	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
14.748	1.0	634124	635164	ELCue	VGS	2	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
16.194	2.0	635570	638193	ShowFixation	ANTI	3	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
18.817	0.2	638193	638412	BlankScreen	ANTI	3	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
19.036	1.0	638412	639435	ELCue	ANTI	3	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
20.465	6.0	639841	646481	ShowFixation	VGS	4	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
27.105	0.2	646481	646720	BlankScreen	VGS	4	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
27.344	1.0	646720	647761	ELCue	VGS	4	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
28.782	2.0	648158	650805	ShowFixation	VGS	5	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
31.429	0.2	650805	651041	BlankScreen	VGS	5	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
31.665	1.0	651041	652082	ELCue	VGS	5	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
33.102	2.0	652478	655126	ShowFixation	ANTI	6	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
35.75	0.2	655126	655362	BlankScreen	ANTI	6	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
35.986	1.0	655362	656400	ELCue	ANTI	6	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
37.413	2.0	656789	659414	ShowFixation	ANTI	7	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
40.038	0.2	659414	659633	BlankScreen	ANTI	7	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
40.257	1.0	659633	660657	ELCue	ANTI	7	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
41.681	2.0	661057	663701	ShowFixation	VGS	8	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
44.325	0.2	663701	663938	BlankScreen	VGS	8	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
44.562	1.0	663938	664978	ELCue	VGS	8	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
46.01	6.0	665386	672022	ShowFixation	ANTI	9	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
52.646	0.2	672022	672262	BlankScreen	ANTI	9	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
52.886	1.0	672262	673303	ELCue	ANTI	9	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
54.329	6.0	673705	680347	ShowFixation	ANTI	10	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
60.972	0.2	680348	680587	BlankScreen	ANTI	10	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
61.212	1.0	680588	681627	ELCue	ANTI	10	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
62.657	6.0	682033	688657	ShowFixation	ANTI	11	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
69.281	0.2	688657	688896	BlankScreen	ANTI	11	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
69.52	1.0	688896	689935	ELCue	ANTI	11	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
70.947	2.0	690323	692965	ShowFixation	ANTI	12	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
73.589	0.2	692965	693183	BlankScreen	ANTI	12	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
73.807	1.0	693183	694206	ELCue	ANTI	12	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
75.241	6.0	694617	701252	ShowFixation	VGS	13	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
81.876	0.2	701252	701492	BlankScreen	VGS	13	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
82.116	1.0	701492	702532	ELCue	VGS	13	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
83.555	6.0	702931	709577	ShowFixation	VGS	14	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
