participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-23792	Go	n/a	0.572	1	n/a
sub-23792	Go	n/a	0.468	1	n/a
sub-23792	Go	n/a	0.428	1	n/a
sub-23792	Go	n/a	0.387	1	n/a
sub-23792	Go	n/a	0.512	1	n/a
sub-23792	Go	n/a	0.748	1	n/a
sub-23792	Go	n/a	0.320	1	n/a
sub-23792	Stop	0.750	n/a	0	0
sub-23792	Go	n/a	0.594	1	n/a
sub-23792	Go	n/a	0.438	1	n/a
sub-23792	Stop	0.800	n/a	0	0
sub-23792	Stop	0.850	n/a	0	0
sub-23792	Stop	0.900	n/a	0	0
sub-23792	Go	n/a	0.571	1	n/a
sub-23792	Stop	0.950	n/a	0	0
sub-23792	Stop	1.000	n/a	0	0
sub-23792	Stop	0.750	n/a	0	1
sub-23792	Stop	0.700	n/a	0	0
sub-23792	Go	n/a	0.592	1	n/a
sub-23792	Go	n/a	0.418	1	n/a
sub-23792	Go	n/a	0.305	1	n/a
sub-23792	Go	n/a	0.239	0	n/a
sub-23792	Go	n/a	0.434	1	n/a
sub-23792	Go	n/a	0.421	1	n/a
sub-23792	Go	n/a	0.509	1	n/a
sub-23792	Go	n/a	0.444	1	n/a
sub-23792	Stop	0.750	n/a	0	0
sub-23792	Stop	0.800	n/a	0	1
sub-23792	Stop	0.750	n/a	0	1
sub-23792	Go	n/a	0.598	1	n/a
sub-23792	Go	n/a	0.726	1	n/a
sub-23792	Go	n/a	0.495	1	n/a
sub-23792	Go	n/a	0.423	1	n/a
sub-23792	Stop	0.700	n/a	0	0
sub-23792	Go	n/a	0.746	1	n/a
sub-23792	Go	n/a	0.512	1	n/a
sub-23792	Go	n/a	0.396	1	n/a
sub-23792	Go	n/a	0.474	1	n/a
sub-23792	Stop	0.750	n/a	0	0
sub-23792	Stop	0.800	n/a	0	1
sub-23792	Go	n/a	n/a	0	n/a
sub-23792	Go	n/a	0.412	1	n/a
sub-23792	Go	n/a	0.435	1	n/a
sub-23792	Go	n/a	0.477	1	n/a
sub-23792	Go	n/a	0.520	1	n/a
sub-23792	Go	n/a	0.741	1	n/a
sub-23792	Go	n/a	0.741	1	n/a
sub-23792	Go	n/a	n/a	0	n/a
sub-23792	Stop	0.750	n/a	0	0
sub-23792	Go	n/a	0.552	1	n/a
sub-23792	Go	n/a	0.462	1	n/a
sub-23792	Stop	0.800	n/a	0	0
sub-23792	Go	n/a	0.705	1	n/a
sub-23792	Go	n/a	0.644	1	n/a
sub-23792	Go	n/a	0.615	1	n/a
sub-23792	Go	n/a	0.673	1	n/a
sub-23792	Go	n/a	0.482	1	n/a
sub-23792	Stop	0.850	n/a	0	1
sub-23792	Go	n/a	0.565	1	n/a
sub-23792	Go	n/a	0.507	1	n/a
sub-23792	Go	n/a	0.689	1	n/a
sub-23792	Go	n/a	0.555	1	n/a
sub-23792	Go	n/a	0.522	1	n/a
sub-23792	Stop	0.800	n/a	0	0
sub-23792	Go	n/a	0.497	1	n/a
sub-23792	Go	n/a	0.560	1	n/a
sub-23792	Go	n/a	0.398	1	n/a
sub-23792	Go	n/a	0.444	1	n/a
sub-23792	Go	n/a	n/a	0	n/a
sub-23792	Go	n/a	0.430	0	n/a
