participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-23799	Go	n/a	0.000	0	n/a
sub-23799	Stop	0.750	0.000	0	0
sub-23799	Go	n/a	0.538	1	n/a
sub-23799	Go	n/a	0.613	1	n/a
sub-23799	Go	n/a	0.565	1	n/a
sub-23799	Stop	0.800	0.000	0	1
sub-23799	Go	n/a	0.492	1	n/a
sub-23799	Go	n/a	0.570	1	n/a
sub-23799	Go	n/a	0.668	1	n/a
sub-23799	Go	n/a	0.635	1	n/a
sub-23799	Stop	0.750	0.000	0	1
sub-23799	Stop	0.700	0.000	0	0
sub-23799	Stop	0.750	0.000	0	0
sub-23799	Go	n/a	0.590	1	n/a
sub-23799	Go	n/a	0.608	1	n/a
sub-23799	Stop	0.800	0.000	0	1
sub-23799	Go	n/a	0.644	1	n/a
sub-23799	Stop	0.750	0.000	0	0
sub-23799	Go	n/a	0.591	1	n/a
sub-23799	Go	n/a	0.477	1	n/a
sub-23799	Go	n/a	0.000	0	n/a
sub-23799	Go	n/a	0.410	1	n/a
sub-23799	Go	n/a	0.793	1	n/a
sub-23799	Go	n/a	0.000	0	n/a
sub-23799	Stop	0.800	0.000	0	1
sub-23799	Stop	0.750	0.000	0	1
sub-23799	Go	n/a	0.578	1	n/a
sub-23799	Go	n/a	0.716	1	n/a
sub-23799	Go	n/a	0.478	1	n/a
sub-23799	Go	n/a	0.644	1	n/a
sub-23799	Stop	0.700	0.000	0	1
sub-23799	Go	n/a	0.696	1	n/a
sub-23799	Go	n/a	0.000	0	n/a
sub-23799	Go	n/a	0.400	1	n/a
sub-23799	Stop	0.650	0.000	0	1
sub-23799	Go	n/a	0.610	1	n/a
sub-23799	Stop	0.600	0.000	0	1
sub-23799	Stop	0.550	0.000	0	1
sub-23799	Go	n/a	0.708	1	n/a
sub-23799	Stop	0.500	0.496	1	0
sub-23799	Go	n/a	0.800	1	n/a
sub-23799	Go	n/a	0.460	1	n/a
sub-23799	Go	n/a	0.722	1	n/a
sub-23799	Stop	0.550	0.000	0	1
sub-23799	Go	n/a	0.435	1	n/a
sub-23799	Go	n/a	0.000	0	n/a
sub-23799	Go	n/a	0.783	1	n/a
sub-23799	Stop	0.500	0.000	0	1
sub-23799	Go	n/a	0.469	1	n/a
sub-23799	Stop	0.450	0.000	0	1
sub-23799	Go	n/a	0.846	1	n/a
sub-23799	Go	n/a	0.640	0	n/a
sub-23799	Go	n/a	0.623	1	n/a
sub-23799	Go	n/a	0.900	1	n/a
sub-23799	Go	n/a	0.911	1	n/a
sub-23799	Stop	0.400	0.000	0	1
sub-23799	Go	n/a	0.816	1	n/a
sub-23799	Go	n/a	0.720	1	n/a
sub-23799	Stop	0.350	0.000	0	1
sub-23799	Go	n/a	0.550	1	n/a
sub-23799	Stop	0.300	0.637	1	0
sub-23799	Go	n/a	0.000	0	n/a
sub-23799	Go	n/a	0.915	1	n/a
sub-23799	Go	n/a	0.773	1	n/a
sub-23799	Go	n/a	0.864	1	n/a
sub-23799	Stop	0.350	0.641	1	0
sub-23799	Go	n/a	0.949	1	n/a
sub-23799	Go	n/a	0.566	1	n/a
sub-23799	Stop	0.400	0.596	1	0
sub-23799	Go	n/a	0.000	0	n/a
sub-23799	Stop	0.450	0.549	1	0
sub-23799	Go	n/a	0.825	1	n/a
sub-23799	Go	n/a	0.860	1	n/a
sub-23799	Go	n/a	0.836	1	n/a
