onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.01	0.376	L	1995082	1995456	1105.4	626.2	999
0.01	0.376	R	1995082	1995456	1118.0	630.4	1177
0.41	6.448	L	1995482	2001928	968.7	589.5	1216
0.412	6.448	R	1995484	2001930	984.2	602.7	1391
6.914	0.232	L	2001986	2002216	422.6	551.7	1437
6.916	0.23	R	2001988	2002216	415.5	550.8	1571
7.176	0.41	L	2002248	2002656	229.3	588.3	1393
7.176	0.41	R	2002248	2002656	248.5	539.9	1503
7.734	0.25	L	2002806	2003054	240.4	606.0	1331
8.004	0.16	L	2003076	2003234	316.7	605.2	1397
7.734	0.43	R	2002806	2003234	269.9	555.1	1417
8.21	0.138	R	2003282	2003418	799.4	574.1	1476
8.214	0.136	L	2003286	2003420	830.0	592.6	1435
8.39	0.364	L	2003462	2003824	377.6	618.0	1362
8.392	0.362	R	2003464	2003824	346.0	580.1	1457
8.806	3.976	L	2003878	2007852	976.0	588.7	1154
8.804	3.98	R	2003876	2007854	945.7	579.5	1312
12.808	2.226	L	2007880	2010104	947.9	570.9	1199
12.81	2.224	R	2007882	2010104	957.8	560.3	1360
15.068	0.844	L	2010140	2010982	652.2	581.3	1309
15.068	0.844	R	2010140	2010982	659.7	563.2	1452
16.06	0.228	R	2011132	2011358	655.3	562.9	1397
16.06	0.23	L	2011132	2011360	655.8	585.8	1252
16.314	0.222	R	2011386	2011606	871.4	555.5	1423
16.308	0.23	L	2011380	2011608	840.9	583.2	1291
16.56	0.126	R	2011632	2011756	1019.8	544.8	1447
16.56	0.468	L	2011632	2012098	1022.0	581.2	1298
16.704	0.324	R	2011776	2012098	1059.6	554.8	1418
17.048	0.592	R	2012120	2012710	967.1	572.5	1238
17.048	0.594	L	2012120	2012712	980.4	594.6	1115
17.696	0.128	L	2012768	2012894	1509.8	412.4	1055
17.696	0.128	R	2012768	2012894	1557.8	397.4	1140
17.872	0.112	L	2012944	2013054	1027.3	540.8	1127
17.872	0.112	R	2012944	2013054	1020.2	514.4	1222
18.004	5.418	R	2013076	2018492	955.5	577.3	1300
18.004	5.42	L	2013076	2018494	974.1	583.0	1128
23.474	0.168	R	2018546	2018712	1572.4	594.8	1235
23.476	0.596	L	2018548	2019142	1646.7	597.1	974
24.09	0.164	L	2019162	2019324	1815.3	618.3	927
24.402	0.174	L	2019474	2019646	1819.4	647.5	881
24.65	1.498	L	2019722	2021218	997.7	600.1	912
24.92	1.228	R	2019992	2021218	978.8	584.4	1148
26.216	0.15	L	2021288	2021436	1732.8	537.7	941
26.216	0.15	R	2021288	2021436	1755.5	541.4	1106
26.42	0.162	R	2021492	2021652	957.3	574.8	1250
26.6	0.506	R	2021672	2022176	978.1	580.0	1257
26.42	0.688	L	2021492	2022178	984.4	582.8	1081
27.168	0.146	L	2022240	2022384	1594.5	459.8	974
27.166	0.15	R	2022238	2022386	1634.8	442.8	1150
27.36	0.928	L	2022432	2023358	980.6	590.1	1035
27.362	0.926	R	2022434	2023358	953.6	591.8	1219
28.31	0.112	R	2023382	2023492	872.8	575.2	1269
28.31	0.114	L	2023382	2023494	891.3	563.6	1079
28.446	2.106	L	2023518	2025622	954.5	555.5	1076
28.444	2.11	R	2023516	2025624	944.0	560.7	1239
30.568	0.18	L	2025640	2025818	883.0	570.5	1079
30.572	0.178	R	2025644	2025820	895.3	568.2	1213
30.766	0.958	L	2025838	2026794	959.7	563.5	998
30.766	0.96	R	2025838	2026796	946.1	563.9	1155
31.774	0.804	L	2026846	2027648	405.2	542.3	1062
31.776	0.802	R	2026848	2027648	388.5	530.2	1202
32.726	0.176	R	2027798	2027972	431.6	538.3	1201
32.726	0.178	L	2027798	2027974	445.4	561.8	1085
32.948	0.36	L	2028020	2028378	914.1	561.6	1062
32.946	0.362	R	2028018	2028378	917.0	563.6	1185
33.364	0.182	L	2028436	2028616	284.7	584.9	1035
33.564	0.512	L	2028636	2029146	215.0	553.3	1057
33.364	0.712	R	2028436	2029146	255.4	564.9	1158
34.128	0.126	L	2029200	2029324	935.0	554.3	1070
34.126	0.128	R	2029198	2029324	932.6	555.7	1154
34.272	1.832	L	2029344	2031174	965.9	566.8	980
34.27	1.834	R	2029342	2031174	961.8	566.0	1126
36.14	0.76	L	2031212	2031970	1288.5	551.0	1001
36.138	0.762	R	2031210	2031970	1329.5	547.5	1227
37.048	0.936	L	2032120	2033054	1057.4	556.3	1136
37.048	0.936	R	2032120	2033054	1093.5	556.0	1314
38.006	0.816	L	2033078	2033892	958.8	562.2	1093
38.84	0.122	L	2033912	2034032	911.4	573.7	1039
38.008	0.954	R	2033080	2034032	963.9	559.3	1277
39.024	0.178	R	2034096	2034272	372.1	541.5	1279
39.024	0.18	L	2034096	2034274	363.7	551.4	1105
39.278	0.104	R	2034350	2034452	907.2	536.3	1257
39.278	0.106	L	2034350	2034454	891.4	552.8	1096
39.404	4.974	L	2034476	2039448	949.1	554.0	1111
39.4	4.982	R	2034472	2039452	988.7	560.0	1303
44.44	0.784	L	2039512	2040294	348.3	629.3	1268
44.44	0.784	R	2039512	2040294	355.7	649.5	1423
45.372	0.118	L	2040444	2040560	349.5	625.1	1291
