onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.01	0.362	R	603134	603494	372.3	543.5	1324
0.01	0.364	L	603134	603496	388.9	574.2	1526
0.528	1.304	L	603652	604954	949.4	496.9	1572
0.532	1.3	R	603656	604954	952.3	498.9	1300
1.872	0.238	R	604996	605232	1048.7	832.9	1450
1.87	0.242	L	604994	605234	1038.7	804.7	1764
2.166	0.172	R	605290	605460	1782.7	1082.8	1378
2.168	0.172	L	605292	605462	1814.1	1133.5	1755
2.366	0.378	L	605490	605866	1958.2	1135.5	1750
2.364	0.382	R	605488	605868	1917.0	1083.1	1335
2.912	0.186	L	606036	606220	881.2	463.7	1822
2.92	0.178	R	606044	606220	898.6	474.6	1539
3.12	0.62	L	606244	606862	943.3	467.1	1774
3.118	0.622	R	606242	606862	944.9	462.0	1505
3.798	0.252	L	606922	607172	391.5	84.5	1663
3.8	0.25	R	606924	607172	381.7	70.2	1443
4.07	0.26	L	607194	607452	360.1	18.7	1709
4.07	0.26	R	607194	607452	335.2	4.4	1501
4.4	0.356	L	607524	607878	1369.3	1020.0	1836
4.4	0.356	R	607524	607878	1331.2	978.6	1507
4.932	0.1	L	608056	608154	902.5	453.8	1851
4.936	0.096	R	608060	608154	925.9	457.5	1542
5.05	1.628	R	608174	609800	953.4	445.1	1510
5.05	1.63	L	608174	609802	927.2	448.3	1823
6.698	0.296	L	609822	610116	927.1	386.5	1884
6.698	0.296	R	609822	610116	937.3	386.4	1547
7.044	0.542	L	610168	610708	1567.7	451.9	1860
7.042	0.544	R	610166	610708	1565.6	445.0	1455
7.746	0.62	L	610870	611488	860.2	446.9	1879
7.75	0.616	R	610874	611488	875.6	441.1	1565
8.566	1.158	L	611690	612846	920.8	442.2	1866
8.574	1.152	R	611698	612848	947.3	450.2	1537
9.932	1.126	R	613056	614180	949.0	442.4	1583
9.924	1.136	L	613048	614182	919.0	441.1	1891
11.106	0.236	R	614230	614464	1566.0	479.3	1550
11.108	0.338	L	614232	614568	1540.0	457.7	1957
11.36	0.088	R	614484	614570	1549.4	442.0	1575
11.526	0.382	L	614650	615030	6.5	409.5	1883
11.528	0.38	R	614652	615030	27.8	356.0	1761
12.056	1.152	L	615180	616330	11.3	394.0	1857
