participant_id	condition	accuracy	reaction_time
sub-23765	congruent	1	0.388
sub-23765	incongruent	1	0.312
sub-23765	congruent	1	0.322
sub-23765	incongruent	1	0.407
sub-23765	incongruent	1	0.508
sub-23765	congruent	1	0.398
sub-23765	congruent	1	0.315
sub-23765	incongruent	1	0.343
sub-23765	incongruent	0	0.350
sub-23765	congruent	1	0.354
sub-23765	incongruent	0	0.347
sub-23765	incongruent	1	0.409
sub-23765	incongruent	0	0.327
sub-23765	congruent	1	0.433
sub-23765	congruent	1	0.383
sub-23765	incongruent	1	0.463
sub-23765	incongruent	1	0.360
sub-23765	congruent	1	0.390
sub-23765	incongruent	1	0.430
sub-23765	incongruent	0	0.464
sub-23765	incongruent	1	0.371
sub-23765	congruent	1	0.467
sub-23765	incongruent	1	0.447
sub-23765	incongruent	0	0.413
sub-23765	congruent	1	0.445
sub-23765	incongruent	1	0.417
sub-23765	congruent	1	0.347
sub-23765	congruent	1	0.365
sub-23765	incongruent	0	0.377
sub-23765	incongruent	1	0.391
sub-23765	congruent	1	0.354
sub-23765	congruent	1	0.351
sub-23765	incongruent	0	0.306
sub-23765	congruent	1	0.330
sub-23765	congruent	1	0.388
sub-23765	incongruent	1	0.929
sub-23765	congruent	1	0.409
sub-23765	congruent	1	0.426
sub-23765	incongruent	1	0.315
sub-23765	congruent	1	0.397
sub-23765	congruent	1	0.377
sub-23765	incongruent	0	0.398
sub-23765	congruent	1	0.448
sub-23765	incongruent	1	0.434
sub-23765	congruent	1	0.335
sub-23765	incongruent	1	0.372
sub-23765	incongruent	0	0.349
sub-23765	congruent	1	0.390
sub-23765	incongruent	1	0.454
sub-23765	congruent	1	0.403
sub-23765	incongruent	1	0.429
sub-23765	incongruent	1	0.384
sub-23765	congruent	1	0.410
sub-23765	congruent	1	0.377
sub-23765	congruent	1	0.336
sub-23765	incongruent	1	0.352
sub-23765	congruent	1	0.376
sub-23765	incongruent	1	0.426
sub-23765	congruent	1	0.388
sub-23765	congruent	1	0.520
sub-23765	incongruent	1	0.474
sub-23765	incongruent	0	0.347
sub-23765	congruent	1	0.329
sub-23765	congruent	1	0.345
sub-23765	incongruent	0	0.324
sub-23765	incongruent	1	0.421
sub-23765	incongruent	1	0.307
sub-23765	incongruent	0	0.334
sub-23765	incongruent	1	0.401
sub-23765	incongruent	1	0.326
sub-23765	incongruent	1	0.444
sub-23765	incongruent	1	0.366
sub-23765	congruent	1	0.384
sub-23765	incongruent	1	0.475
sub-23765	congruent	1	0.360
sub-23765	congruent	1	0.558
sub-23765	incongruent	1	0.324
sub-23765	congruent	1	0.365
sub-23765	congruent	1	0.383
sub-23765	congruent	1	0.411
sub-23765	congruent	1	0.403
sub-23765	congruent	1	0.358
sub-23765	congruent	1	0.458
sub-23765	congruent	1	0.365
sub-23765	incongruent	1	0.449
sub-23765	congruent	1	0.473
sub-23765	incongruent	0	0.383
sub-23765	incongruent	1	0.423
sub-23765	congruent	1	0.513
sub-23765	incongruent	1	0.512
sub-23765	incongruent	1	0.473
sub-23765	congruent	1	0.364
sub-23765	incongruent	0	0.379
sub-23765	incongruent	1	0.400
sub-23765	congruent	1	0.373
sub-23765	congruent	1	0.393
sub-23765	incongruent	1	0.469
sub-23765	incongruent	1	0.470
sub-23765	congruent	1	0.373
sub-23765	incongruent	1	0.476
sub-23765	incongruent	1	1.380
sub-23765	congruent	1	0.339
sub-23765	incongruent	1	0.377
sub-23765	incongruent	0	0.297
sub-23765	incongruent	0	0.349
sub-23765	incongruent	1	0.458
sub-23765	congruent	0	0.352
sub-23765	incongruent	1	0.327
sub-23765	congruent	1	0.382
sub-23765	congruent	1	0.369
sub-23765	incongruent	0	0.367
sub-23765	congruent	1	0.388
sub-23765	congruent	1	0.375
sub-23765	congruent	1	0.279
sub-23765	congruent	1	0.290
sub-23765	congruent	0	0.291
sub-23765	congruent	1	0.398
sub-23765	congruent	1	0.308
sub-23765	incongruent	0	0.276
sub-23765	congruent	1	0.324
sub-23765	incongruent	1	0.490
sub-23765	congruent	1	0.353
sub-23765	congruent	1	0.334
sub-23765	congruent	1	0.325
sub-23765	incongruent	1	0.433
sub-23765	incongruent	1	0.433
sub-23765	congruent	1	0.439
sub-23765	incongruent	1	0.329
sub-23765	congruent	1	0.354
sub-23765	congruent	1	0.346
sub-23765	incongruent	1	0.457
sub-23765	incongruent	0	0.338
sub-23765	congruent	1	0.378
sub-23765	incongruent	1	0.373
sub-23765	congruent	1	0.355
sub-23765	incongruent	1	0.754
sub-23765	congruent	1	0.360
sub-23765	incongruent	0	0.313
sub-23765	congruent	1	0.378
sub-23765	incongruent	1	0.355
sub-23765	congruent	1	0.380
sub-23765	congruent	1	0.441
sub-23765	congruent	1	0.337
sub-23765	congruent	1	0.352
sub-23765	incongruent	1	0.423
sub-23765	congruent	1	0.497
sub-23765	incongruent	1	0.458
sub-23765	incongruent	1	0.521
sub-23765	incongruent	1	0.546
sub-23765	congruent	1	0.389
sub-23765	incongruent	1	0.357
sub-23765	incongruent	1	0.511
sub-23765	congruent	0	0.332
sub-23765	incongruent	0	0.387
sub-23765	congruent	1	0.373
sub-23765	congruent	1	0.445
sub-23765	incongruent	1	0.452
sub-23765	incongruent	0	0.357
sub-23765	congruent	1	0.441
sub-23765	incongruent	1	0.449
sub-23765	incongruent	0	0.365
sub-23765	incongruent	1	0.501
sub-23765	congruent	1	0.409
sub-23765	congruent	1	0.438
sub-23765	incongruent	1	0.535
sub-23765	congruent	1	0.363
sub-23765	congruent	1	0.390
sub-23765	incongruent	0	0.355
sub-23765	congruent	1	0.437
sub-23765	incongruent	0	0.330
sub-23765	incongruent	1	0.432
sub-23765	incongruent	1	0.533
sub-23765	incongruent	1	0.379
sub-23765	congruent	1	0.370
sub-23765	congruent	1	0.449
sub-23765	congruent	1	0.440
sub-23765	congruent	1	0.349
sub-23765	incongruent	0	0.322
sub-23765	incongruent	1	0.492
sub-23765	congruent	1	0.344
sub-23765	incongruent	1	0.509
sub-23765	congruent	1	0.343
sub-23765	incongruent	1	0.370
sub-23765	incongruent	1	0.515
sub-23765	congruent	1	0.407
sub-23765	incongruent	0	0.323
sub-23765	congruent	1	0.310
sub-23765	incongruent	0	0.322
sub-23765	congruent	1	0.370
sub-23765	incongruent	1	0.378
sub-23765	congruent	1	0.472
sub-23765	congruent	1	0.398
sub-23765	congruent	1	0.332
sub-23765	incongruent	1	0.461
sub-23765	incongruent	1	0.360
sub-23765	congruent	1	0.360
sub-23765	incongruent	1	0.384
sub-23765	congruent	1	0.391
sub-23765	incongruent	1	0.470
sub-23765	congruent	1	0.535
sub-23765	incongruent	0	0.342
sub-23765	incongruent	1	0.407
sub-23765	congruent	1	0.488
sub-23765	congruent	1	0.449
sub-23765	incongruent	1	0.450
sub-23765	congruent	1	0.405
sub-23765	congruent	1	0.461
sub-23765	congruent	1	0.363
sub-23765	incongruent	0	0.321
sub-23765	congruent	0	0.243
sub-23765	congruent	1	0.385
sub-23765	congruent	1	0.521
sub-23765	incongruent	1	0.474
sub-23765	incongruent	1	0.436
sub-23765	congruent	1	0.411
sub-23765	incongruent	1	0.559
sub-23765	congruent	1	0.387
sub-23765	congruent	1	0.788
sub-23765	incongruent	1	0.415
sub-23765	congruent	1	0.416
sub-23765	congruent	1	0.373
sub-23765	incongruent	1	0.477
sub-23765	incongruent	1	0.428
sub-23765	congruent	1	0.360
sub-23765	incongruent	1	0.414
sub-23765	incongruent	1	0.440
sub-23765	incongruent	1	0.391
sub-23765	congruent	1	0.405
sub-23765	congruent	1	0.378
sub-23765	congruent	1	0.354
sub-23765	congruent	1	0.402
sub-23765	incongruent	1	0.487
sub-23765	incongruent	0	0.375
sub-23765	congruent	1	0.436
sub-23765	incongruent	1	0.771
sub-23765	congruent	1	0.411
sub-23765	incongruent	0	0.397
sub-23765	incongruent	1	0.525
sub-23765	incongruent	1	0.429
sub-23765	incongruent	1	0.434
