participant_id	condition	accuracy	reaction_time
sub-24053	congruent	1	0.598
sub-24053	congruent	0	0.235
sub-24053	congruent	0	0.409
sub-24053	incongruent	0	0.426
sub-24053	congruent	1	0.238
sub-24053	incongruent	1	0.314
sub-24053	incongruent	0	0.377
sub-24053	congruent	1	0.687
sub-24053	congruent	1	0.377
sub-24053	congruent	0	0.267
sub-24053	incongruent	1	0.449
sub-24053	incongruent	0	0.413
sub-24053	incongruent	1	0.327
sub-24053	congruent	1	0.289
sub-24053	incongruent	0	0.268
sub-24053	incongruent	1	0.294
sub-24053	congruent	0	0.299
sub-24053	incongruent	0	0.305
sub-24053	incongruent	1	0.004
sub-24053	congruent	1	0.196
sub-24053	congruent	1	0.639
sub-24053	incongruent	0	0.275
sub-24053	incongruent	1	0.236
sub-24053	congruent	1	0.424
sub-24053	congruent	1	0.418
sub-24053	incongruent	0	0.263
sub-24053	congruent	1	0.758
sub-24053	incongruent	1	0.505
sub-24053	congruent	1	0.552
sub-24053	congruent	1	0.393
sub-24053	incongruent	1	0.227
sub-24053	congruent	1	0.302
sub-24053	incongruent	1	0.235
sub-24053	congruent	1	0.496
sub-24053	congruent	1	0.564
sub-24053	incongruent	1	0.330
sub-24053	congruent	1	0.314
sub-24053	incongruent	1	0.531
sub-24053	incongruent	0	0.242
sub-24053	incongruent	1	0.715
sub-24053	congruent	1	0.370
sub-24053	incongruent	1	0.445
sub-24053	congruent	1	0.410
sub-24053	incongruent	0	0.471
sub-24053	incongruent	1	0.388
sub-24053	congruent	1	0.565
sub-24053	incongruent	1	0.739
sub-24053	congruent	1	1.710
sub-24053	congruent	0	0.000
sub-24053	congruent	1	0.596
sub-24053	congruent	0	0.315
sub-24053	incongruent	1	0.286
sub-24053	incongruent	0	0.322
sub-24053	incongruent	1	0.406
sub-24053	congruent	1	0.496
sub-24053	incongruent	1	0.299
sub-24053	congruent	1	0.431
sub-24053	congruent	1	0.567
sub-24053	incongruent	0	0.240
sub-24053	incongruent	1	0.276
sub-24053	incongruent	1	0.496
sub-24053	congruent	0	0.297
sub-24053	incongruent	0	0.053
sub-24053	incongruent	1	0.231
sub-24053	incongruent	0	0.267
sub-24053	incongruent	1	0.342
sub-24053	congruent	0	0.276
sub-24053	incongruent	0	0.301
sub-24053	congruent	1	0.306
sub-24053	incongruent	1	0.301
sub-24053	congruent	1	0.572
sub-24053	incongruent	1	0.373
sub-24053	congruent	1	0.312
sub-24053	incongruent	0	0.410
sub-24053	incongruent	1	0.483
sub-24053	congruent	0	0.407
sub-24053	congruent	1	0.452
sub-24053	incongruent	1	0.351
sub-24053	congruent	1	0.320
sub-24053	incongruent	0	0.295
sub-24053	incongruent	1	0.315
sub-24053	incongruent	0	0.365
sub-24053	congruent	1	0.525
sub-24053	congruent	0	0.306
sub-24053	congruent	1	0.088
sub-24053	incongruent	0	0.210
sub-24053	congruent	1	0.172
sub-24053	congruent	1	0.124
sub-24053	congruent	1	0.516
sub-24053	congruent	1	1.123
sub-24053	incongruent	1	0.743
sub-24053	incongruent	1	0.268
sub-24053	congruent	1	0.420
sub-24053	incongruent	0	0.360
sub-24053	congruent	1	0.395
sub-24053	incongruent	1	0.366
sub-24053	incongruent	0	0.224
sub-24053	congruent	1	0.284
sub-24053	incongruent	1	0.325
sub-24053	incongruent	1	0.438
sub-24053	incongruent	1	0.384
sub-24053	congruent	1	0.469
sub-24053	incongruent	1	0.424
sub-24053	incongruent	0	0.296
sub-24053	congruent	1	0.380
sub-24053	congruent	1	0.532
sub-24053	incongruent	1	0.322
sub-24053	congruent	1	0.344
sub-24053	incongruent	1	0.396
sub-24053	incongruent	1	0.177
sub-24053	incongruent	1	0.462
sub-24053	congruent	0	0.298
sub-24053	congruent	1	0.537
sub-24053	incongruent	1	0.535
sub-24053	congruent	1	0.390
sub-24053	congruent	1	1.088
sub-24053	congruent	1	0.395
sub-24053	congruent	1	0.295
sub-24053	congruent	1	0.248
sub-24053	congruent	1	0.118
sub-24053	congruent	1	0.473
sub-24053	congruent	1	0.360
sub-24053	congruent	1	0.410
sub-24053	incongruent	1	0.416
sub-24053	incongruent	1	0.456
sub-24053	incongruent	0	0.286
sub-24053	congruent	1	0.245
sub-24053	congruent	1	0.530
sub-24053	incongruent	1	0.833
sub-24053	congruent	0	0.271
sub-24053	incongruent	0	0.209
sub-24053	incongruent	1	0.214
sub-24053	incongruent	1	0.249
sub-24053	congruent	0	0.082
sub-24053	congruent	0	0.290
sub-24053	incongruent	1	0.227
sub-24053	incongruent	1	0.278
sub-24053	congruent	1	0.849
sub-24053	congruent	1	0.372
sub-24053	incongruent	0	0.235
sub-24053	congruent	1	0.242
sub-24053	incongruent	0	0.167
sub-24053	incongruent	1	0.234
sub-24053	congruent	1	0.133
sub-24053	congruent	1	0.228
sub-24053	incongruent	1	0.183
sub-24053	incongruent	0	0.009
sub-24053	congruent	0	0.003
sub-24053	incongruent	0	0.153
sub-24053	congruent	0	0.021
sub-24053	incongruent	1	0.364
sub-24053	congruent	1	0.066
sub-24053	congruent	1	0.141
sub-24053	incongruent	1	0.155
sub-24053	incongruent	1	0.280
sub-24053	incongruent	1	0.126
sub-24053	congruent	0	0.174
sub-24053	incongruent	1	0.556
sub-24053	congruent	0	0.134
sub-24053	congruent	0	0.464
sub-24053	incongruent	0	0.150
sub-24053	incongruent	0	0.196
sub-24053	incongruent	1	0.157
sub-24053	incongruent	1	0.322
sub-24053	congruent	1	0.477
sub-24053	congruent	0	0.000
sub-24053	congruent	1	0.333
sub-24053	incongruent	1	0.439
sub-24053	congruent	0	0.292
sub-24053	incongruent	1	0.481
sub-24053	congruent	1	0.239
sub-24053	congruent	1	0.035
sub-24053	incongruent	0	0.238
sub-24053	incongruent	1	0.219
sub-24053	congruent	1	0.341
sub-24053	congruent	1	0.264
sub-24053	incongruent	1	0.267
sub-24053	congruent	1	0.453
sub-24053	incongruent	1	0.454
sub-24053	congruent	1	0.326
sub-24053	incongruent	1	0.382
sub-24053	congruent	1	0.263
sub-24053	incongruent	1	0.338
sub-24053	incongruent	0	0.255
sub-24053	incongruent	1	0.320
sub-24053	incongruent	1	0.295
sub-24053	incongruent	0	0.184
sub-24053	incongruent	0	0.005
sub-24053	incongruent	0	0.275
sub-24053	congruent	1	0.420
sub-24053	congruent	1	0.485
sub-24053	congruent	1	0.499
sub-24053	incongruent	1	1.301
sub-24053	incongruent	1	0.723
sub-24053	incongruent	1	0.638
sub-24053	incongruent	1	0.951
sub-24053	incongruent	1	0.740
sub-24053	incongruent	1	0.573
sub-24053	congruent	1	0.560
sub-24053	congruent	1	0.724
sub-24053	congruent	1	0.405
sub-24053	congruent	1	0.533
sub-24053	congruent	1	0.401
sub-24053	congruent	1	0.273
sub-24053	congruent	1	0.389
sub-24053	congruent	1	0.439
sub-24053	incongruent	1	0.376
sub-24053	incongruent	0	0.376
sub-24053	incongruent	0	0.363
sub-24053	congruent	1	0.534
sub-24053	congruent	1	0.596
sub-24053	incongruent	0	0.405
sub-24053	congruent	1	0.341
sub-24053	incongruent	1	0.405
sub-24053	incongruent	1	0.458
sub-24053	congruent	1	0.411
sub-24053	incongruent	1	0.597
sub-24053	congruent	1	0.503
sub-24053	incongruent	1	0.451
sub-24053	congruent	1	0.530
sub-24053	congruent	1	0.556
sub-24053	congruent	1	0.540
sub-24053	incongruent	1	0.487
sub-24053	congruent	1	0.496
sub-24053	congruent	1	0.422
sub-24053	incongruent	1	0.388
sub-24053	congruent	1	0.446
sub-24053	congruent	1	0.390
sub-24053	congruent	1	0.286
sub-24053	congruent	1	0.345
sub-24053	incongruent	0	0.349
sub-24053	congruent	1	0.392
sub-24053	congruent	1	0.475
sub-24053	incongruent	1	0.487
sub-24053	incongruent	1	0.476
sub-24053	incongruent	1	0.399
sub-24053	congruent	1	0.480
sub-24053	incongruent	1	0.388
sub-24053	congruent	1	0.392
sub-24053	incongruent	1	0.515
