onset	duration	eye	startTime	stopTime
15.108	0.148	R	634484	634631
16.913	0.268	R	636289	636556
20.106	0.084	R	639482	639565
25.811	0.129	R	645187	645315
26.272	0.026	R	645648	645673
26.62	0.011	R	645996	646006
29.017	0.029	R	648393	648421
36.221	0.002	R	655597	655598
36.524	0.031	R	655900	655930
36.779	0.033	R	656155	656187
36.92	0.22	R	656296	656515
37.343	0.023	R	656719	656741
37.973	0.214	R	657349	657562
40.113	0.117	R	659489	659605
40.616	0.08	R	659992	660071
53.224	0.549	R	672600	673148
55.606	0.294	L	674982	675275
55.556	0.513	R	674932	675444
61.678	0.464	R	681054	681517
70.235	0.332	R	689611	689942
71.23	0.006	R	690606	690611
74.947	0.014	R	694323	694336
88.657	0.002	R	708033	708034
96.534	0.469	R	715910	716378
121.587	0.058	R	740963	741020
136.374	0.078	R	755750	755827
152.475	0.427	R	771851	772277
153.034	0.497	R	772410	772906
154.027	0.095	L	773403	773497
153.992	0.34	R	773368	773707
168.482	0.087	R	787858	787944
174.757	0.05	R	794133	794182
182.213	0.303	R	801589	801891
182.653	0.166	R	802029	802194
184.747	0.001	R	804123	804123
184.912	0.007	R	804288	804294
185.156	0.563	R	804532	805094
187.018	6.206	R	806394	812599
193.527	0.667	R	812903	813569
194.674	1.356	R	814050	815405
196.396	0.116	R	815772	815887
196.379	0.15	L	815755	815904
209.55	0.047	R	828926	828972
232.556	0.103	R	851932	852034
243.923	0.11	L	863299	863408
243.944	0.095	R	863320	863414
244.184	0.105	L	863560	863664
244.189	0.1	R	863565	863664
249.9	0.001	R	869276	869276
255.366	0.049	R	874742	874790
287.356	0.317	L	906732	907048
287.24	0.467	R	906616	907082
288.497	0.11	L	907873	907982
288.509	0.144	R	907885	908028
289.274	0.097	L	908650	908746
289.281	0.125	R	908657	908781
329.598	6.637	R	948974	955610
336.366	0.161	R	955742	955902
347.767	0.124	L	967143	967266
347.916	0.004	L	967292	967295
347.743	0.209	R	967119	967327
347.963	0.114	L	967339	967452
351.994	1.829	L	971370	973198
352.896	0.928	R	972272	973199
354.92	0.017	L	974296	974312
354.929	0.008	R	974305	974312
359.769	0.012	L	979145	979156
360.09	0.603	L	979466	980068
362.815	0.003	L	982191	982193
363.275	1.883	L	982651	984533
365.526	0.772	L	984902	985673
366.428	0.41	L	985804	986213
367.941	0.574	R	987317	987890
367.945	0.582	L	987321	987902
368.728	2.449	R	988104	990552
368.728	2.45	L	988104	990553
371.264	0.137	L	990640	990776
371.249	0.253	R	990625	990877
371.918	0.341	R	991294	991634
372.045	0.307	L	991421	991727
372.979	0.03	L	992355	992384
372.979	0.994	R	992355	993348
374.253	0.172	L	993629	993800
374.79	0.307	L	994166	994472
375.651	0.184	L	995027	995210
376.874	0.105	L	996250	996354
374.105	4.646	R	993481	998126
379.893	0.202	L	999269	999470
379.889	0.271	R	999265	999535
381.203	0.461	L	1000579	1001039
382.652	0.717	R	1002028	1002744
381.793	4.906	L	1001169	1006074
389.041	0.199	R	1008417	1008615
389.034	0.209	L	1008410	1008618
396.78	0.249	L	1016156	1016404
396.767	0.262	R	1016143	1016404
409.053	0.172	L	1028429	1028600
409.053	0.216	R	1028429	1028644
436.782	0.13	L	1056158	1056287
436.778	0.175	R	1056154	1056328
451.026	0.175	L	1070402	1070576
451.024	0.216	R	1070400	1070615
458.468	0.111	L	1077844	1077954
