onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.012	0.041	L	606077	606117	1142.5	406.7	1223
0.012	0.043	R	606077	606119	1156.8	427.4	996
0.081	0.296	L	606146	606441	916.3	402.1	1231
0.086	0.291	R	606151	606441	933.5	435.4	1035
0.398	1.701	L	606463	608163	933.2	514.5	1261
0.4	1.701	R	606465	608165	972.9	541.6	1060
2.126	0.326	L	608191	608516	921.1	527.4	1323
2.116	0.336	R	608181	608516	980.7	549.5	1119
2.509	0.225	R	608574	608798	1615.2	106.5	1016
2.513	0.222	L	608578	608799	1538.8	110.4	1268
2.791	0.134	L	608856	608989	897.3	556.9	1339
2.789	0.138	R	608854	608991	978.7	577.9	1144
2.947	1.866	L	609012	610877	937.8	506.1	1182
2.947	1.868	R	609012	610879	982.2	556.2	995
4.872	0.23	L	610937	611166	217.1	49.7	1176
4.875	0.228	R	610940	611167	279.3	95.1	1047
5.157	0.134	R	611222	611355	1034.2	542.0	1021
5.155	0.137	L	611220	611356	987.5	489.7	1187
5.31	0.481	L	611375	611855	954.6	526.7	1153
5.31	1.505	R	611375	612879	974.1	555.8	971
5.807	1.009	L	611872	612880	942.1	529.6	1155
6.858	0.312	L	612923	613234	1519.8	512.0	1270
6.858	0.313	R	612923	613235	1550.0	566.8	1005
7.229	0.352	L	613294	613645	548.3	486.4	1293
7.23	0.351	R	613295	613645	586.6	497.3	1137
7.726	0.045	L	613791	613835	558.0	477.5	1303
7.726	0.045	R	613791	613835	583.8	489.7	1120
7.808	0.433	R	613873	614305	953.6	533.6	1107
7.807	0.435	L	613872	614306	928.9	490.5	1309
8.265	0.206	L	614330	614535	1039.7	487.8	1329
8.264	0.208	R	614329	614536	1061.1	540.4	1130
8.497	0.255	R	614562	614816	941.9	537.3	1130
8.496	0.257	L	614561	614817	916.0	484.9	1308
8.767	4.245	L	614832	619076	940.9	519.5	1341
13.028	1.001	L	619093	620093	934.7	508.9	1589
8.768	5.273	R	614833	620105	986.8	550.8	1157
14.268	0.053	L	620333	620385	906.2	384.2	1730
14.335	0.339	L	620400	620738	934.9	449.2	1769
14.218	1.033	R	620283	621315	1004.3	516.5	1267
14.691	0.561	L	620756	621316	953.2	537.9	1410
15.296	0.37	R	621361	621730	1546.2	530.0	1128
15.295	0.373	L	621360	621732	1505.9	523.7	1452
15.694	0.212	L	621759	621970	1688.4	508.6	1466
15.694	0.212	R	621759	621970	1741.4	530.7	1124
16.047	0.057	L	622112	622168	1686.0	528.0	1409
16.047	0.059	R	622112	622170	1739.4	546.6	1086
16.121	0.133	L	622186	622318	1664.1	506.0	1405
16.121	0.134	R	622186	622319	1710.8	516.5	1084
16.305	0.027	R	622370	622396	1039.2	448.7	1161
16.412	0.342	L	622477	622818	991.0	439.9	1453
16.364	0.39	R	622429	622818	1036.0	549.1	1077
16.788	0.227	L	622853	623079	921.1	533.1	1177
16.776	0.24	R	622841	623080	946.0	542.2	966
17.033	0.56	L	623098	623657	977.9	542.4	1047
17.618	1.041	L	623683	624723	968.6	559.4	1020
17.034	1.638	R	623099	624736	971.6	552.9	817
18.888	0.219	L	624953	625171	956.4	477.0	1315
19.14	0.215	L	625205	625419	963.4	543.8	1268
18.832	0.525	R	624897	625421	976.7	542.1	988
19.401	0.826	L	625466	626291	348.5	572.8	1107
19.401	0.826	R	625466	626291	357.9	546.9	920
20.407	0.415	L	626472	626886	991.5	542.9	884
20.405	0.425	R	626470	626894	1005.0	532.1	682
