onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.386	0.024	L	1995458	1995480	1099.1	615.0	984.1	608.6	2.11	133
0.386	0.026	R	1995458	1995482	1112.8	635.9	985.4	633.1	2.33	145
6.858	0.056	L	2001930	2001984	972.0	574.6	418.0	529.7	9.57	291
6.86	0.056	R	2001932	2001986	969.6	581.8	433.9	543.4	9.24	269
7.146	0.03	R	2002218	2002246	418.0	553.2	259.0	547.9	2.69	129
7.146	0.03	L	2002218	2002246	426.8	566.0	225.8	558.6	3.40	159
7.984	0.02	L	2003056	2003074	252.7	595.7	308.0	609.0	0.96	65
8.164	0.046	R	2003236	2003280	311.6	565.9	798.6	570.0	8.39	278
8.164	0.05	L	2003236	2003284	320.3	594.1	812.2	579.3	8.48	238
8.35	0.04	L	2003422	2003460	826.4	591.9	379.0	613.4	7.74	323
8.348	0.044	R	2003420	2003462	802.3	582.5	354.0	574.4	7.74	297
8.754	0.05	R	2003826	2003874	345.7	583.8	957.2	569.8	10.56	335
8.754	0.052	L	2003826	2003876	392.6	627.6	993.4	591.5	10.39	294
12.782	0.026	L	2007854	2007878	946.5	569.0	855.3	521.5	1.79	95
12.784	0.026	R	2007856	2007880	966.6	566.9	897.1	518.5	1.47	70
15.034	0.034	L	2010106	2010138	935.9	576.7	629.2	570.8	5.30	257
15.034	0.034	R	2010106	2010138	963.6	558.7	659.6	562.5	5.26	259
16.29	0.018	L	2011362	2011378	670.6	588.6	728.5	572.5	1.04	77
16.288	0.026	R	2011360	2011384	664.4	567.6	778.1	548.7	1.98	104
16.538	0.022	L	2011610	2011630	878.6	586.2	986.7	576.0	1.88	127
16.536	0.024	R	2011608	2011630	895.8	560.9	1013.6	555.0	2.05	134
16.686	0.018	R	2011758	2011774	1025.5	539.3	1080.2	543.7	0.95	79
17.028	0.02	L	2012100	2012118	1044.2	595.3	984.6	596.5	1.04	76
17.028	0.02	R	2012100	2012118	1045.6	577.9	972.3	576.9	1.28	88
17.642	0.054	L	2012714	2012766	980.0	592.1	1504.2	416.1	9.55	241
17.64	0.056	R	2012712	2012766	977.1	574.5	1566.5	396.5	10.63	292
17.824	0.048	L	2012896	2012942	1509.1	413.2	1012.4	534.0	8.84	268
17.824	0.048	R	2012896	2012942	1545.5	400.2	1022.0	505.4	9.24	275
17.984	0.02	L	2013056	2013074	1017.4	546.6	978.3	590.5	1.04	80
17.984	0.02	R	2013056	2013074	1009.2	525.8	961.7	569.9	1.14	85
23.422	0.052	R	2018494	2018544	977.6	599.8	1573.5	591.8	10.39	312
23.424	0.052	L	2018496	2018546	981.2	584.0	1486.2	577.7	8.80	260
24.072	0.018	L	2019144	2019160	1758.9	621.8	1824.5	615.0	1.11	83
23.642	0.614	R	2018714	2019326	1594.9	582.0	1740.8	547.8	2.58	128
24.576	0.074	L	2019648	2019720	1810.4	653.4	997.0	564.6	13.93	278
24.394	0.526	R	2019466	2019990	.	.	1145.0	496.6	2.4e+006	238
26.148	0.068	L	2021220	2021286	1008.1	613.9	1716.8	544.8	12.21	246
26.148	0.068	R	2021220	2021286	987.0	602.6	1742.3	536.9	13.00	250
26.366	0.054	L	2021438	2021490	1731.8	541.9	950.3	580.4	13.39	417
26.366	0.054	R	2021438	2021490	1756.8	545.9	973.3	570.4	13.41	387
