participant_id	trial_type	accuracy
sub-24053	BY	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	BY	1
sub-24053	BY	1
sub-24053	AY	0
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AY	1
sub-24053	BY	0
sub-24053	AX	0
sub-24053	AY	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	BY	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	BX	1
sub-24053	AX	1
sub-24053	BY	1
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AY	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	BY	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	BY	1
sub-24053	AX	0
sub-24053	BX	1
sub-24053	AX	1
sub-24053	AY	0
sub-24053	AX	0
sub-24053	AY	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AY	0
sub-24053	n/a	n/a
sub-24053	AY	1
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	1
sub-24053	BX	1
sub-24053	BY	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AY	0
sub-24053	AX	1
sub-24053	AY	0
sub-24053	AY	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	BY	1
sub-24053	AX	1
sub-24053	BX	0
sub-24053	AX	1
sub-24053	BX	1
sub-24053	AX	1
sub-24053	BX	0
sub-24053	BX	1
sub-24053	AX	0
sub-24053	AX	1
sub-24053	BY	0
sub-24053	AX	0
sub-24053	BY	1
sub-24053	AY	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	BX	0
sub-24053	AX	0
sub-24053	BX	1
sub-24053	n/a	n/a
sub-24053	AX	0
sub-24053	BX	1
sub-24053	AY	0
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	BY	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	BY	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	1
sub-24053	BX	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AY	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	BY	1
sub-24053	AX	1
sub-24053	AX	1
sub-24053	BX	1
sub-24053	AX	1
sub-24053	BX	0
sub-24053	AY	0
sub-24053	AX	0
sub-24053	AX	1
sub-24053	BX	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	0
sub-24053	AX	0
sub-24053	BX	1
sub-24053	AX	1
sub-24053	AX	0
sub-24053	AX	0
sub-24053	n/a	n/a
