onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.01	0.486	L	1348430	1348914	1297.7	1220.6	1729
0.01	0.488	R	1348430	1348916	1484.1	1313.9	1365
0.566	0.12	L	1348986	1349104	818.6	462.0	1720
0.56	0.126	R	1348980	1349104	868.8	483.8	1434
0.712	1.066	L	1349132	1350196	930.4	502.8	1466
0.71	1.068	R	1349130	1350196	961.8	530.8	1228
1.796	0.228	L	1350216	1350442	954.8	476.5	1377
1.796	0.23	R	1350216	1350444	991.9	517.3	1139
2.044	0.598	L	1350464	1351060	905.2	475.5	1423
2.046	0.598	R	1350466	1351062	969.0	518.3	1182
2.668	0.224	L	1351088	1351310	847.5	422.0	1468
2.668	0.226	R	1351088	1351312	925.8	460.0	1229
2.916	0.286	L	1351336	1351620	802.2	376.6	1327
2.916	0.286	R	1351336	1351620	877.9	405.0	1091
3.222	0.104	L	1351642	1351744	764.4	354.2	1155
3.222	0.106	R	1351642	1351746	831.0	374.9	944
3.37	0.226	L	1351790	1352014	297.5	500.0	1078
3.372	0.224	R	1351792	1352014	346.8	493.6	909
3.744	0.014	L	1352164	1352176	306.7	509.7	1045
3.744	0.014	R	1352164	1352176	345.5	502.0	892
3.802	0.3	L	1352222	1352520	928.7	496.8	1035
3.798	0.308	R	1352218	1352524	955.6	496.1	848
4.124	0.166	R	1352544	1352708	916.5	506.4	861
4.122	0.17	L	1352542	1352710	888.6	508.1	1081
4.318	0.376	R	1352738	1353112	1062.6	509.5	878
4.318	0.378	L	1352738	1353114	1021.5	510.2	1114
4.72	0.696	L	1353140	1353834	935.9	519.0	1163
4.72	0.698	R	1353140	1353836	969.5	513.1	940
5.48	0.15	R	1353900	1354048	213.1	457.3	970
5.478	0.154	L	1353898	1354050	172.8	459.8	1144
5.684	0.166	L	1354104	1354268	854.5	456.4	1143
5.682	0.168	R	1354102	1354268	905.1	456.3	952
5.874	1.422	R	1354294	1355714	970.2	504.7	960
5.876	1.422	L	1354296	1355716	925.5	507.4	1168
7.348	0.326	L	1355768	1356092	1567.4	534.1	1026
7.346	0.33	R	1355766	1356094	1619.3	535.4	788
7.704	0.14	L	1356124	1356262	1386.9	495.0	1017
7.704	0.14	R	1356124	1356262	1416.2	488.2	785
7.866	0.052	L	1356286	1356336	1444.8	513.4	1009
7.866	0.052	R	1356286	1356336	1467.6	504.5	777
8.066	0.272	R	1356486	1356756	908.9	458.8	819
8.066	0.274	L	1356486	1356758	879.5	493.3	1018
8.368	0.624	L	1356788	1357410	1039.7	516.0	1134
8.366	0.626	R	1356786	1357410	1082.9	490.2	924
9.016	1.506	R	1357436	1358940	981.4	502.2	997
9.014	1.818	L	1357434	1359250	928.3	508.3	1208
