onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.498	0.062	R	1348918	1348978	1468.3	1305.7	879.4	499.2	22.60	747
0.496	0.07	L	1348916	1348984	1295.4	1223.6	809.4	438.4	20.89	832
0.686	0.024	R	1349106	1349128	869.5	487.4	970.8	521.3	2.49	170
0.686	0.026	L	1349106	1349130	826.2	464.3	928.1	498.2	2.51	168
1.778	0.018	L	1350198	1350214	935.1	489.8	972.5	483.5	0.88	71
1.778	0.018	R	1350198	1350214	961.0	521.8	1008.6	519.2	1.11	95
2.024	0.02	L	1350444	1350462	943.4	476.1	890.1	469.4	1.25	94
2.026	0.02	R	1350446	1350464	992.1	520.4	945.5	519.9	1.08	91
2.642	0.026	L	1351062	1351086	901.1	473.4	846.0	407.2	2.00	139
2.644	0.024	R	1351064	1351086	967.8	520.0	926.6	443.4	2.03	148
2.892	0.024	L	1351312	1351334	844.4	424.0	796.4	358.4	1.89	132
2.894	0.022	R	1351314	1351334	923.7	454.6	883.8	398.5	1.60	122
3.202	0.02	L	1351622	1351640	797.1	388.2	758.6	353.2	1.20	86
3.202	0.02	R	1351622	1351640	871.8	409.7	836.9	372.2	1.18	88
3.326	0.044	L	1351746	1351788	765.2	358.7	311.6	476.2	10.50	432
3.328	0.044	R	1351748	1351790	822.0	374.8	361.1	485.8	10.62	430
3.758	0.04	R	1352178	1352216	355.9	500.9	936.5	490.8	13.02	584
3.758	0.044	L	1352178	1352220	316.8	509.0	910.6	499.6	13.32	532
4.102	0.02	L	1352522	1352540	927.0	495.1	885.2	508.4	1.01	75
4.106	0.018	R	1352526	1352542	953.2	497.1	914.0	507.8	0.94	74
4.292	0.026	L	1352712	1352736	891.2	508.2	1023.1	507.7	3.05	200
4.29	0.028	R	1352710	1352736	921.3	506.3	1067.9	507.9	3.39	213
4.696	0.024	L	1353116	1353138	1014.9	516.2	934.9	509.3	1.85	132
4.694	0.026	R	1353114	1353138	1054.8	510.1	965.6	503.2	2.07	134
5.416	0.062	L	1353836	1353896	933.9	527.9	152.2	461.1	17.27	434
5.418	0.062	R	1353838	1353898	965.5	521.7	200.9	460.1	16.90	388
5.63	0.052	R	1354050	1354100	214.7	456.1	894.1	455.1	14.95	610
5.632	0.052	L	1354052	1354102	172.4	460.2	841.5	455.8	14.74	518
5.85	0.024	R	1354270	1354292	911.0	457.2	995.6	528.1	2.56	184
5.85	0.026	L	1354270	1354294	858.8	457.3	949.1	520.8	2.56	195
7.296	0.05	R	1355716	1355764	946.1	499.1	1609.8	531.1	14.92	548
7.298	0.05	L	1355718	1355766	901.6	503.3	1557.1	530.6	14.73	510
7.674	0.03	L	1356094	1356122	1570.3	540.5	1370.4	484.7	4.60	301
7.676	0.028	R	1356096	1356122	1612.4	540.8	1425.2	487.8	4.31	275
7.844	0.022	L	1356264	1356284	1383.8	499.0	1466.2	517.6	1.89	140
7.844	0.022	R	1356264	1356284	1414.3	487.3	1490.0	506.7	1.75	134
8.338	0.028	R	1356758	1356784	913.5	463.5	1085.1	484.0	4.00	255
8.34	0.028	L	1356760	1356786	887.0	490.9	1049.2	519.8	3.81	244
8.992	0.022	L	1357412	1357432	1024.3	518.4	938.3	507.9	2.00	146
8.992	0.024	R	1357412	1357434	1079.7	501.5	1001.5	480.4	1.87	132
10.522	0.026	R	1358942	1358966	977.5	510.3	982.6	500.6	0.25	73
10.832	0.024	R	1359252	1359274	998.2	506.7	1105.1	508.5	2.47	168
10.832	0.026	L	1359252	1359276	924.1	498.6	1022.3	496.5	2.27	149
11.296	0.024	L	1359716	1359738	1024.8	502.6	939.1	461.8	2.20	156
11.296	0.024	R	1359716	1359738	1097.4	519.0	1025.5	460.4	2.15	151
11.692	0.018	R	1360112	1360128	1004.5	479.9	970.5	451.0	1.04	79
11.69	0.022	L	1360110	1360130	955.6	484.8	912.0	454.5	1.23	91
11.944	0.082	L	1360364	1360444	921.4	470.8	1803.3	557.2	19.36	427
11.942	0.084	R	1360362	1360444	971.3	456.5	1893.2	535.2	20.21	465
13.152	0.06	L	1361572	1361630	1772.8	539.1	1037.7	486.2	16.15	479
13.152	0.062	R	1361572	1361632	1838.1	565.5	1093.8	488.4	16.42	444
13.484	0.024	L	1361904	1361926	1012.0	499.2	922.1	508.3	2.09	143
13.486	0.024	R	1361906	1361928	1065.9	485.1	972.9	490.0	2.15	156
14.218	0.208	L	1362638	1362844	940.6	522.3	920.0	491.7	0.86	1155
14.214	0.214	R	1362634	1362846	986.3	508.5	973.7	482.6	0.67	1442
14.604	0.018	R	1363024	1363040	972.3	498.5	981.6	527.7	0.71	59
14.83	0.212	L	1363250	1363460	918.4	522.2	919.9	496.4	0.60	1217
14.83	0.214	R	1363250	1363462	994.6	525.0	993.8	481.9	1.01	1627
15.54	0.04	L	1363960	1363998	912.2	513.7	1341.9	504.4	9.86	433
15.538	0.064	R	1363958	1364020	979.7	508.6	1434.5	520.3	10.42	469
15.876	0.028	L	1364296	1364322	1366.7	511.5	1546.4	524.7	4.03	263
15.876	0.036	R	1364296	1364330	1425.4	530.2	1567.9	550.4	3.23	278
16.02	0.028	L	1364440	1364466	1523.2	520.1	1318.5	475.4	4.70	287
16.022	0.028	R	1364442	1364468	1569.4	548.3	1381.5	506.4	4.33	257
16.176	0.026	R	1364596	1364620	1365.6	506.3	1531.7	494.8	3.75	248
16.178	0.026	L	1364598	1364622	1313.0	491.8	1465.1	484.5	3.43	225
16.438	0.052	L	1364858	1364908	1434.8	477.6	762.9	523.6	15.34	547
16.44	0.052	R	1364860	1364910	1485.7	500.9	824.5	534.7	15.08	496
16.934	0.028	R	1365354	1365380	802.7	519.1	961.4	482.6	3.78	258
16.936	0.028	L	1365356	1365382	767.2	530.4	909.0	491.9	3.41	228
17.176	0.022	L	1365596	1365616	912.0	490.6	998.8	505.3	2.04	141
17.174	0.024	R	1365594	1365616	962.9	495.3	1048.0	506.3	1.99	147
17.634	0.024	R	1366054	1366076	1047.6	509.8	952.5	500.8	2.22	151
17.636	0.024	L	1366056	1366078	983.1	510.7	896.1	497.6	2.04	149
19.208	0.022	L	1367628	1367648	922.6	506.2	957.7	459.9	1.35	90
19.21	0.02	R	1367630	1367648	994.2	499.6	1026.2	454.6	1.29	98
19.788	0.022	L	1368208	1368228	951.8	452.4	911.3	487.4	1.24	91
