onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.012	0.361	L	2972469	2972829	823.6	423.5	1163
0.012	0.362	R	2972469	2972830	891.5	424.2	915
0.398	2.442	R	2972855	2975296	994.8	531.4	822
0.398	2.443	L	2972855	2975297	945.0	540.1	1062
2.911	0.135	L	2975368	2975502	1835.3	664.5	1120
2.9	0.146	R	2975357	2975502	1858.2	607.8	853
3.073	0.474	R	2975530	2976003	1613.4	611.2	835
3.072	0.476	L	2975529	2976004	1585.1	630.5	1102
3.752	0.24	L	2976209	2976448	841.5	537.7	1064
3.754	0.239	R	2976211	2976449	874.5	551.4	851
4.012	0.457	L	2976469	2976925	909.4	545.6	1050
4.013	0.458	R	2976470	2976927	943.4	554.2	842
4.486	0.043	L	2976943	2976985	859.6	539.3	1045
4.486	0.044	R	2976943	2976986	909.0	565.0	838
4.654	0.113	L	2977111	2977223	863.0	524.3	1043
4.655	0.114	R	2977112	2977225	913.6	543.1	805
4.789	6.401	R	2977246	2983646	986.8	553.0	802
4.789	6.402	L	2977246	2983647	943.6	552.9	1035
11.243	0.59	L	2983700	2984289	1588.4	554.6	1027
11.847	0.061	L	2984304	2984364	1553.4	563.9	957
11.241	0.667	R	2983698	2984364	1621.7	530.7	734
12.05	0.033	R	2984507	2984539	1576.2	542.7	688
12.05	0.034	L	2984507	2984540	1548.9	560.4	951
12.129	0.227	L	2984586	2984812	957.9	555.7	988
12.132	0.227	R	2984589	2984815	1001.3	550.4	756
12.508	0.383	L	2984965	2985347	982.2	528.9	963
12.907	0.15	L	2985364	2985513	991.6	549.3	951
12.512	0.546	R	2984969	2985514	1030.8	534.4	747
13.075	2.23	R	2985532	2987761	995.2	559.1	693
13.076	2.23	L	2985533	2987762	952.0	547.4	881
15.338	0.303	L	2987795	2988097	1228.5	571.7	1026
15.655	0.574	L	2988112	2988685	1246.5	549.7	944
15.337	0.892	R	2987794	2988685	1290.4	564.5	747
16.371	0.119	L	2988828	2988946	1238.9	550.4	896
16.371	0.121	R	2988828	2988948	1287.0	568.5	713
16.53	0.206	L	2988987	2989192	875.8	553.1	931
16.531	0.213	R	2988988	2989200	934.1	570.1	770
16.897	0.237	L	2989354	2989590	913.2	523.3	991
16.889	0.245	R	2989346	2989590	970.2	547.7	821
17.15	0.215	L	2989607	2989821	868.9	554.0	1006
17.151	0.214	R	2989608	2989821	927.2	558.7	835
17.385	2.569	L	2989842	2992410	956.6	549.3	903
17.385	2.571	R	2989842	2992412	996.1	568.1	725
19.972	3.812	L	2992429	2996240	950.2	552.8	964
19.973	3.813	R	2992430	2996242	995.4	563.1	750
23.811	0.113	L	2996268	2996380	876.0	540.9	1089
23.804	0.121	R	2996261	2996381	928.0	563.6	871
23.99	0.344	R	2996447	2996790	417.1	576.9	856
23.986	0.349	L	2996443	2996791	347.2	541.5	1044
24.351	0.202	L	2996808	2997009	313.4	521.2	867
24.35	0.203	R	2996807	2997009	360.8	549.3	709
24.695	0.025	R	2997152	2997176	347.5	572.4	637
24.695	0.026	L	2997152	2997177	316.3	534.1	768
24.772	0.182	L	2997229	2997410	880.8	536.4	761
24.77	0.188	R	2997227	2997414	905.0	556.8	620
25.114	3.357	R	2997571	3000927	992.8	565.4	724
25.132	3.341	L	2997589	3000929	947.9	551.2	936
28.504	0.294	L	3000961	3001254	1205.0	556.2	1071
28.502	0.296	R	3000959	3001254	1258.2	580.7	794
28.831	0.043	L	3001288	3001330	1475.7	576.2	1053
28.83	0.044	R	3001287	3001330	1521.7	581.2	767
29.015	0.096	R	3001472	3001567	1522.2	594.7	711
29.015	0.097	L	3001472	3001568	1476.7	576.0	969
29.159	0.177	L	3001616	3001792	939.5	551.0	940
29.161	0.186	R	3001618	3001803	991.1	584.1	718
29.491	0.161	L	3001948	3002108	888.5	550.7	870
29.485	0.167	R	3001942	3002108	944.3	586.8	669
29.667	0.28	L	3002124	3002403	853.8	559.2	929
29.669	0.278	R	3002126	3002403	901.7	570.8	741
29.968	5.537	R	3002425	3007961	996.0	571.4	717
29.967	5.549	L	3002424	3007972	961.1	565.2	902
35.758	0.435	R	3008215	3008649	981.8	537.5	647
35.764	0.43	L	3008221	3008650	949.8	525.6	837
36.226	0.087	L	3008683	3008769	1239.1	544.2	746
36.224	0.089	R	3008681	3008769	1254.5	562.1	570
36.345	0.139	L	3008802	3008940	1545.3	567.8	695
36.342	0.142	R	3008799	3008940	1544.0	558.6	518
36.502	0.698	L	3008959	3009656	1619.2	572.0	703
36.502	0.698	R	3008959	3009656	1602.5	557.3	530
37.349	0.365	L	3009806	3010170	948.0	554.6	745
37.353	0.362	R	3009810	3010171	964.4	575.8	607
37.734	0.343	L	3010191	3010533	1002.0	542.5	789
37.736	0.341	R	3010193	3010533	1039.3	567.7	648
38.097	0.225	L	3010554	3010778	914.9	546.8	821
38.098	0.225	R	3010555	3010779	951.5	569.0	676
38.338	2.404	L	3010795	3013198	956.7	558.3	883
38.338	2.405	R	3010795	3013199	990.8	576.3	705
40.794	0.251	L	3013251	3013501	285.8	536.0	980
40.797	0.25	R	3013254	3013503	349.8	575.2	784
41.063	0.458	L	3013520	3013977	342.9	530.4	875
41.064	0.457	R	3013521	3013977	386.6	564.1	693
41.693	0.495	L	3014150	3014644	933.7	544.9	779
41.692	0.497	R	3014149	3014645	966.9	561.3	610
42.207	0.054	R	3014664	3014717	1026.1	574.7	601
42.205	0.059	L	3014662	3014720	993.5	550.0	755
42.416	2.536	R	3014873	3017408	985.6	562.6	579
42.407	2.547	L	3014864	3017410	966.2	552.3	724
45.001	0.144	L	3017458	3017601	1543.2	581.5	745
44.999	0.147	R	3017456	3017602	1556.1	564.5	560
45.164	0.678	L	3017621	3018298	1594.9	580.0	713
45.163	0.679	R	3017620	3018298	1589.2	572.5	536
45.998	0.3	L	3018455	3018754	929.0	576.5	726
46.0	0.302	R	3018457	3018758	952.6	569.2	591
46.615	2.7	L	3019072	3021771	967.4	552.1	726
46.593	2.724	R	3019050	3021773	986.3	559.5	593
49.385	0.778	L	3021842	3022619	216.0	518.0	849
49.387	0.776	R	3021844	3022619	250.2	566.9	710
50.34	0.591	L	3022797	3023387	863.1	570.1	870
50.339	0.595	R	3022796	3023390	881.3	595.8	724
51.067	0.225	L	3023524	3023748	940.9	536.3	850
51.065	1.544	R	3023522	3025065	989.2	575.9	678
