participant_id	condition	accuracy	reaction_time
sub-24268	incongruent	1	0.535
sub-24268	incongruent	0	0.565
sub-24268	incongruent	1	0.610
sub-24268	incongruent	1	0.595
sub-24268	incongruent	1	0.540
sub-24268	incongruent	1	0.470
sub-24268	congruent	1	0.445
sub-24268	congruent	1	0.423
sub-24268	congruent	1	0.398
sub-24268	incongruent	1	0.636
sub-24268	incongruent	1	0.660
sub-24268	incongruent	1	0.593
sub-24268	congruent	1	0.355
sub-24268	incongruent	1	0.496
sub-24268	incongruent	1	0.538
sub-24268	incongruent	1	0.485
sub-24268	incongruent	1	0.483
sub-24268	congruent	1	0.408
sub-24268	incongruent	1	0.498
sub-24268	incongruent	1	0.469
sub-24268	incongruent	1	0.522
sub-24268	congruent	1	0.420
sub-24268	congruent	1	0.387
sub-24268	incongruent	1	0.460
sub-24268	incongruent	1	0.466
sub-24268	congruent	1	0.437
sub-24268	incongruent	1	0.504
sub-24268	congruent	1	0.387
sub-24268	congruent	1	0.395
sub-24268	congruent	1	0.355
sub-24268	congruent	1	0.337
sub-24268	incongruent	1	0.513
sub-24268	congruent	1	0.455
sub-24268	congruent	1	0.404
sub-24268	incongruent	1	0.519
sub-24268	congruent	1	0.435
sub-24268	congruent	1	0.368
sub-24268	congruent	1	0.487
sub-24268	incongruent	1	0.612
sub-24268	congruent	1	0.421
sub-24268	incongruent	1	0.562
sub-24268	congruent	1	0.410
sub-24268	congruent	1	0.351
sub-24268	congruent	1	0.393
sub-24268	incongruent	1	0.482
sub-24268	incongruent	1	0.502
sub-24268	incongruent	1	0.459
sub-24268	incongruent	1	0.425
sub-24268	congruent	1	0.395
sub-24268	congruent	1	0.405
sub-24268	congruent	1	0.388
sub-24268	congruent	1	0.384
sub-24268	congruent	1	0.372
sub-24268	congruent	1	0.374
sub-24268	congruent	1	0.365
sub-24268	incongruent	1	0.483
sub-24268	incongruent	1	0.419
sub-24268	congruent	1	0.377
sub-24268	congruent	1	0.387
sub-24268	incongruent	1	0.454
sub-24268	incongruent	1	0.491
sub-24268	incongruent	1	0.447
sub-24268	incongruent	1	0.486
sub-24268	incongruent	1	0.448
sub-24268	incongruent	1	0.365
sub-24268	incongruent	1	0.480
sub-24268	congruent	1	0.352
sub-24268	congruent	1	0.326
sub-24268	incongruent	0	0.252
sub-24268	congruent	1	0.346
sub-24268	incongruent	1	0.497
sub-24268	incongruent	0	0.300
sub-24268	congruent	1	0.365
sub-24268	incongruent	1	0.411
sub-24268	incongruent	1	0.426
sub-24268	incongruent	1	0.377
sub-24268	congruent	1	0.354
sub-24268	congruent	1	0.293
sub-24268	incongruent	0	0.352
sub-24268	congruent	1	0.390
sub-24268	congruent	1	0.378
sub-24268	incongruent	1	0.532
sub-24268	incongruent	1	0.356
sub-24268	congruent	1	0.384
sub-24268	congruent	1	0.361
sub-24268	congruent	1	0.322
sub-24268	congruent	1	0.329
sub-24268	congruent	1	0.366
sub-24268	congruent	1	0.308
sub-24268	congruent	1	0.289
sub-24268	incongruent	1	0.379
sub-24268	congruent	1	0.356
sub-24268	incongruent	0	0.272
sub-24268	incongruent	1	0.308
sub-24268	congruent	1	0.354
sub-24268	incongruent	1	0.399
sub-24268	incongruent	1	0.509
sub-24268	congruent	1	0.342
sub-24268	incongruent	0	0.355
sub-24268	congruent	1	0.271
sub-24268	incongruent	0	0.381
sub-24268	congruent	1	0.388
sub-24268	congruent	1	0.373
sub-24268	incongruent	1	0.509
sub-24268	congruent	1	0.367
sub-24268	congruent	1	0.461
sub-24268	congruent	1	0.346
sub-24268	incongruent	0	0.363
sub-24268	incongruent	1	0.455
sub-24268	incongruent	1	0.393
sub-24268	congruent	1	0.353
sub-24268	congruent	1	0.379
sub-24268	incongruent	1	0.455
sub-24268	incongruent	1	0.493
sub-24268	congruent	1	0.360
sub-24268	incongruent	1	0.521
sub-24268	congruent	1	0.443
sub-24268	incongruent	0	0.347
sub-24268	congruent	1	0.423
sub-24268	congruent	1	0.375
sub-24268	incongruent	1	0.458
sub-24268	congruent	1	0.303
sub-24268	incongruent	1	0.410
sub-24268	incongruent	0	0.379
sub-24268	incongruent	1	0.395
sub-24268	congruent	0	0.242
sub-24268	congruent	1	0.311
sub-24268	incongruent	0	0.317
sub-24268	congruent	0	0.183
sub-24268	congruent	1	0.423
